source,survey,window,teacher_obs,notes
"This paper, characterized sample",CPS ASEC 2011-2025,2010-2024,45296.0,college-graduate teacher-years
"This paper, main window",CPS ASEC 2016-2025,2015-2024,28932.0,college-graduate teacher-years
"This paper, rate series",CPS ASEC 1998-2025,1997-2024 (4 gaps),76000.0,approx.; all-education for the harmonized series
Harris & Adams (2007),March CPS 1992-2001,1992-2001,18786.0,their Table 1
Aldeman & Yi (2025),CPS (pooled decades),~1984-2024,,N not reported
"Tan et al. (2026), LPI",NTPS 2020-21 + TFS 2021-22,2020-22,,NTPS samples ~40-50k public school teachers per wave; follow-up subsample smaller (verify against report)
