pkey,HRYEAR4,PWSSWGT,n_y1_teach,n_y2_obs,n_y2_nonsummer,leaver
300609949225854|79001|1|24058,2005,2824.4993,1,1.0,1.0,0
310368095704879|79001|2|24059,2005,3468.5261,2,4.0,4.0,0
336097889600891|79001|1|24058,2005,2761.3328,1,4.0,4.0,0
336097889600891|79001|2|24058,2005,2679.6394,1,4.0,4.0,0
460147054907797|79001|1|24059,2005,3060.173,2,4.0,4.0,0
460147054907797|79001|3|24059,2005,2743.58,2,4.0,4.0,0
548099977600414|79001|1|24059,2005,3044.3357,2,4.0,4.0,0
600609957734070|79001|3|24061,2005,3293.027,4,4.0,4.0,0
610440954010060|79001|1|24061,2005,3263.3696,4,4.0,4.0,0
689320399530940|79001|1|24059,2005,3237.6433,2,4.0,4.0,0
698820609590930|79001|1|24058,2005,3115.3667,1,4.0,4.0,0
760120083700890|79001|2|24058,2005,2785.4253,1,4.0,4.0,0
866092739600992|79001|2|24061,2005,3182.5964,4,4.0,4.0,0
906908000471976|79001|2|24061,2005,3404.0642,4,4.0,4.0,0
090916405001634|79001|2|24061,2005,3782.558,4,4.0,4.0,1
090976506098619|79261|1|24061,2005,3431.124,4,4.0,4.0,0
266097279600995|79001|2|24061,2005,3224.8586,4,4.0,4.0,0
760870094909390|79001|1|24059,2005,2664.8682,2,4.0,4.0,0
806901760999506|79001|2|24061,2005,3620.7483,4,4.0,4.0,0
945086967059340|79001|2|24060,2005,3021.005,2,4.0,4.0,0
400807987835898|79001|1|24059,2005,1755.039,2,4.0,4.0,1
520986078203349|79001|2|24058,2005,1782.4084,1,4.0,4.0,0
300807921262787|79001|1|24058,2005,1512.428,1,4.0,4.0,1
600807949970299|79001|1|24061,2005,1555.0447,4,3.0,3.0,0
899140325700730|79001|2|24058,2005,2014.2977,1,4.0,4.0,0
012033501081821|79001|1|24058,2005,1585.2157,1,4.0,4.0,0
094964009092899|79001|2|24059,2005,1481.4998,2,2.0,2.0,0
320986075003949|79001|1|24058,2005,1585.2157,1,4.0,4.0,0
405004240107628|79001|1|24060,2005,1742.8011,3,4.0,4.0,0
778068945039350|79001|1|24058,2005,1324.1974,1,4.0,4.0,0
899220345870950|79001|2|24060,2005,1886.1981,3,4.0,4.0,0
928469530979004|79001|2|24058,2005,1737.9521,1,4.0,4.0,0
958349830569006|79001|2|24058,2005,1503.4279,1,4.0,4.0,0
290570063905975|79001|1|24058,2005,1097.5092,1,4.0,4.0,0
290570063905975|79001|2|24058,2005,1053.3586,1,4.0,4.0,0
639075259900507|79001|2|24058,2005,1515.7284,1,4.0,4.0,0
937029950039890|79001|1|24058,2005,1020.4765,1,4.0,4.0,0
028960490781890|79001|2|24059,2005,1117.0787,2,4.0,4.0,0
041030390796999|79001|2|24058,2005,1413.5953,1,4.0,4.0,0
079935705075998|79001|2|24060,2005,1075.3945,3,4.0,4.0,0
094925107035906|79001|1|24060,2005,1075.3945,3,4.0,4.0,0
109920240611005|79001|1|24059,2005,995.5779,2,4.0,4.0,0
149320440541000|79001|1|24059,2005,995.5779,2,4.0,4.0,0
149320440541000|79001|2|24059,2005,1110.5789,2,4.0,4.0,0
162019195040200|79001|2|24059,2005,1176.9117,2,4.0,4.0,0
290755053906294|79001|2|24058,2005,1580.7744,1,4.0,4.0,0
300909918096557|79001|2|24058,2005,1202.1951,1,4.0,4.0,0
435011320900166|79001|2|24058,2005,1582.8573,1,4.0,4.0,1
505906130596429|79001|1|24060,2005,878.6717,3,4.0,4.0,0
709019963039490|79001|1|24058,2005,1098.5624,1,4.0,4.0,0
946078559900996|79001|1|24059,2005,1109.3954,2,4.0,4.0,0
969440668240960|79001|1|24061,2005,1008.0631,4,3.0,3.0,0
990126066909690|79001|2|24061,2005,980.6754,4,4.0,4.0,0
505704500894469|79001|1|24060,2005,1035.653,3,4.0,4.0,0
946049989039100|79001|1|24058,2005,1524.3625,1,4.0,4.0,0
989100701300740|79001|1|24059,2005,958.7861,2,4.0,4.0,0
999210038150750|79001|2|24060,2005,1141.7196,3,4.0,4.0,0
079965703026968|79001|1|24060,2005,1021.5591,3,4.0,4.0,0
098916905090939|79001|2|24061,2005,1027.3918,4,4.0,4.0,0
989150183390940|79001|1|24059,2005,859.1042,1,4.0,4.0,1
989150183390940|79001|2|24059,2005,1025.1051,2,4.0,4.0,1
010610904480161|79001|2|24061,2005,387.6942,4,4.0,4.0,0
654170419000898|79001|1|24060,2005,345.009,3,4.0,4.0,0
654170419000898|79001|2|24060,2005,292.1422,3,4.0,4.0,0
089750157720741|79001|4|24059,2005,364.3968,1,4.0,4.0,1
165984103013099|79001|1|24059,2005,424.5743,2,4.0,4.0,0
178994508015067|79001|1|24059,2005,369.5197,2,4.0,4.0,0
194995901030066|79001|2|24060,2005,356.2232,3,4.0,4.0,0
195904402031037|79001|1|24059,2005,338.908,2,4.0,4.0,0
431190258000833|79001|2|24058,2005,323.2959,1,4.0,4.0,1
900349530129103|79001|2|24058,2005,281.224,1,4.0,4.0,0
951070903139420|79001|2|24058,2005,337.5112,1,3.0,3.0,0
996020570149550|79001|1|24059,2005,369.5197,2,4.0,4.0,0
021018440577103|79001|1|24059,2005,408.2487,2,1.0,1.0,0
042251310925795|79001|1|24058,2005,324.9307,1,4.0,4.0,0
131979940559107|79001|2|24059,2005,291.3341,2,4.0,4.0,0
179833705075198|79001|2|24058,2005,352.0692,1,4.0,4.0,0
510109930465755|79001|2|24060,2005,320.6657,3,4.0,4.0,0
711604025905174|79001|1|24060,2005,367.8651,1,4.0,4.0,1
720114075516529|79001|1|24061,2005,293.0637,4,4.0,4.0,0
757051497159930|79001|2|24060,2005,326.4666,3,4.0,4.0,0
920318097014539|79001|2|24059,2005,410.9675,2,4.0,4.0,1
957051297138930|79001|1|24058,2005,442.9873,1,3.0,3.0,0
037611320993295|79001|2|24058,2005,2883.901,1,4.0,4.0,1
045421520992696|79001|1|24060,2005,2734.3933,3,4.0,4.0,0
087062129140150|79001|1|24059,2005,2810.731,2,4.0,4.0,0
221811056909594|79001|2|24061,2005,3303.7617,4,4.0,4.0,0
922032959139890|79001|2|24058,2005,2871.8442,1,4.0,4.0,0
021592084909490|79001|2|24059,2005,2882.6003,2,4.0,4.0,0
046491320978892|79001|1|24058,2005,3664.6057,1,4.0,4.0,0
085091620936996|79001|2|24061,2005,2581.527,4,4.0,4.0,0
190925706033256|79001|2|24060,2005,3171.6626,3,2.0,2.0,0
194915701082218|79001|2|24060,2005,2579.7124,3,4.0,4.0,0
221811053906594|79001|2|24058,2005,3232.8467,1,4.0,4.0,0
221863035001007|79001|1|24060,2005,2669.9182,3,4.0,4.0,0
289010562520961|79001|2|24061,2005,2827.5996,2,4.0,4.0,0
299160170340951|79001|2|24060,2005,4385.2305,3,4.0,4.0,0
310209938006757|79001|2|24058,2005,3238.2246,1,4.0,4.0,0
310209940988186|79001|2|24058,2005,2941.7344,1,4.0,4.0,0
310209971086035|79001|1|24058,2005,2723.2793,1,4.0,4.0,0
572449460079103|79001|2|24061,2005,2791.126,4,4.0,4.0,0
970425092215009|79001|1|24060,2005,3147.4514,2,4.0,4.0,0
984022746139460|79001|1|24058,2005,2793.275,1,4.0,4.0,0
421913034909991|79001|1|24059,2005,2906.2654,2,4.0,4.0,0
406900101992813|79001|2|24061,2005,3880.8599,4,4.0,4.0,0
015781530997799|79001|1|24060,2005,3796.1643,3,4.0,4.0,0
023013185140260|79001|1|24059,2005,3444.159,2,4.0,4.0,0
023013185140260|79001|2|24059,2005,3208.132,2,4.0,4.0,0
031102083906491|79001|1|24058,2005,2564.2527,1,4.0,4.0,1
042891530998798|79001|1|24060,2005,3878.6626,3,4.0,4.0,0
102083105016371|79001|2|24058,2005,2684.136,1,4.0,4.0,0
399660425370951|79001|1|24060,2005,3233.4368,3,4.0,4.0,0
