pkey,HRYEAR4,PWSSWGT,n_y1_teach,n_y2_obs,n_y2_nonsummer,leaver
241297879400959|81001|3|24075,2006,2287.6838,2,4.0,3.0,0
506906982791584|81001|2|24077,2006,1427.9132,1,4.0,1.0,1
606700912999034|81001|2|24077,2006,1586.2437,4,4.0,1.0,0
620407965308093|81001|1|24077,2006,1421.7197,4,4.0,1.0,0
730200860400102|81001|2|24074,2006,1904.9689,1,4.0,4.0,1
070145001626680|81001|2|24077,2006,1473.5876,1,3.0,1.0,0
291926306041489|81001|1|24077,2006,1586.2437,1,4.0,1.0,0
052544045908596|81001|1|24076,2006,3224.4185,3,3.0,2.0,0
262789086909894|81001|2|24077,2006,3374.2075,3,4.0,1.0,0
586929560269204|81001|2|24077,2006,3274.1687,4,4.0,1.0,0
662284063908895|81001|1|24074,2006,2439.1743,1,4.0,4.0,0
662821013908794|81001|2|24074,2006,2658.6016,1,3.0,3.0,0
562418046909393|81001|1|24077,2006,2854.405,1,4.0,1.0,0
690861098426139|81001|2|24077,2006,3507.1655,4,4.0,1.0,0
769300635710962|81001|1|24077,2006,1634.1771,4,4.0,1.0,0
137820160280204|81001|2|24077,2006,1594.3936,4,4.0,1.0,0
799190562310952|81001|1|24076,2006,1566.7894,1,4.0,2.0,0
306607852999447|81001|1|24077,2006,1500.3508,3,3.0,1.0,0
670077939269210|81001|1|24077,2006,1500.3508,2,4.0,1.0,0
794640609810662|81001|2|24077,2006,1559.471,4,4.0,1.0,1
882172026909492|81001|1|24077,2006,1718.8206,2,3.0,1.0,1
006904082990318|81001|2|24077,2006,1745.2188,1,3.0,1.0,1
562290269800981|81001|2|24077,2006,1543.2249,2,4.0,1.0,1
192201006909597|81001|1|24077,2006,2270.9202,4,4.0,1.0,1
021722690683498|81001|1|24077,2006,2469.3672,4,4.0,1.0,0
603547046909360|81001|2|24077,2006,529.3964,4,4.0,1.0,0
174081113360710|81001|2|24077,2006,963.3359,4,4.0,1.0,0
106909493996291|81001|2|24077,2006,870.5552,4,4.0,1.0,0
378986404050189|81001|2|24077,2006,798.3958,3,4.0,1.0,0
630106980681297|81001|2|24077,2006,708.7124,4,4.0,1.0,0
252379348200605|81001|2|24076,2006,1296.5492,3,4.0,2.0,1
259240092350763|81001|2|24077,2006,965.8971,4,2.0,1.0,0
389200159750963|81001|2|24077,2006,402.1133,3,4.0,1.0,0
005223630961595|81001|1|24077,2006,465.8174,4,4.0,1.0,0
086543630789291|81001|1|24077,2006,439.2184,4,4.0,1.0,0
133350026907871|81001|1|24077,2006,465.8174,4,4.0,1.0,1
310931072035589|81001|1|24076,2006,454.4921,3,3.0,2.0,0
105708263894313|81001|1|24076,2006,478.7037,1,4.0,2.0,1
506708393996683|81001|2|24077,2006,381.6426,4,4.0,1.0,0
702033811369200|81001|2|24077,2006,413.6381,4,4.0,1.0,0
396906208052479|81001|2|24077,2006,3288.2788,4,4.0,1.0,0
630409951481477|81001|1|24077,2006,3004.7786,4,3.0,1.0,0
706904813794514|81001|1|24077,2006,3296.891,3,4.0,1.0,0
706904813794514|81001|2|24077,2006,3067.7483,4,4.0,1.0,0
814299260769303|81001|2|24077,2006,3420.4143,2,3.0,1.0,0
609400186890963|81001|1|24077,2006,3189.99,2,4.0,1.0,0
937016614369120|81001|1|24077,2006,2111.2583,4,2.0,0.0,0
016093460983199|81002|1|24075,2006,3886.6477,2,4.0,3.0,0
267391159600274|81001|1|24077,2006,2512.7395,4,4.0,1.0,0
395986007019689|81001|1|24077,2006,2809.683,4,4.0,1.0,0
563175076909498|81001|2|24077,2006,2979.0435,2,4.0,1.0,0
631600091090110|81001|2|24077,2006,6544.369,3,4.0,1.0,0
689840978280963|81001|1|24077,2006,2969.7778,4,4.0,1.0,0
700662098136719|81001|2|24077,2006,3065.1157,4,4.0,1.0,0
963913026909993|81001|1|24077,2006,2681.9214,4,4.0,1.0,1
980086979359480|81001|1|24076,2006,2928.7617,1,4.0,2.0,1
399946903062649|81001|2|24077,2006,2379.9287,4,4.0,1.0,0
462399849600977|81001|1|24077,2006,2533.6997,4,4.0,1.0,0
468396249600964|81001|2|24077,2006,2530.6418,4,4.0,1.0,0
006903943994957|81001|2|24077,2006,3200.5383,4,4.0,1.0,0
396916401000749|81001|1|24077,2006,3020.3777,4,4.0,1.0,0
406609533992767|81001|1|24077,2006,3108.7698,4,4.0,1.0,0
567392189700974|81001|1|24077,2006,2973.2024,4,4.0,1.0,0
615027962369590|81001|2|24077,2006,3108.7698,4,3.0,1.0,0
092068184360750|81001|2|24077,2006,432.5027,4,4.0,1.0,0
483595086909995|81001|1|24077,2006,349.6921,4,4.0,1.0,0
630806972079590|81001|2|24077,2006,363.7441,4,4.0,1.0,0
006905293799108|81001|2|24077,2006,397.3941,1,4.0,1.0,0
630909999139979|81001|1|24077,2006,2734.7856,4,4.0,1.0,0
893516096909894|81001|1|24077,2006,2673.3293,4,4.0,1.0,0
910029873369520|81001|1|24077,2006,2879.8594,4,4.0,1.0,0
910029873369520|81001|2|24077,2006,2534.608,4,4.0,1.0,0
910029873369520|81001|3|24077,2006,3117.406,4,3.0,1.0,0
948009834369720|81001|1|24077,2006,2856.5837,4,4.0,1.0,0
189370160670301|81001|1|24077,2006,2581.213,4,4.0,1.0,0
189370160670301|81001|2|24077,2006,2615.9023,4,4.0,1.0,0
906601853994399|81001|1|24077,2006,2579.9617,4,4.0,1.0,0
906601853994399|81001|2|24077,2006,2514.8462,4,4.0,1.0,0
471966409014099|81001|1|24077,2006,1941.9738,4,4.0,1.0,0
471966409014099|81001|2|24077,2006,1919.316,4,4.0,1.0,0
740802091946899|81001|1|24077,2006,2046.8031,4,2.0,1.0,0
506608884995770|81001|1|24077,2006,1706.2828,4,4.0,1.0,0
506608884995770|81001|2|24077,2006,1780.2418,4,4.0,1.0,0
710021829469950|81001|1|24077,2006,1987.0654,4,4.0,1.0,0
937021837469860|81001|1|24077,2006,2160.9158,4,4.0,1.0,0
937021837469860|81001|2|24077,2006,2166.9016,4,4.0,1.0,0
498994700090139|81001|1|24075,2006,1615.9617,2,2.0,1.0,1
981071966459500|81001|2|24076,2006,1909.4957,2,4.0,2.0,0
063492899200951|81001|2|24077,2006,3012.465,4,2.0,1.0,0
306907924791162|81001|3|24077,2006,3060.0684,4,4.0,1.0,0
724729094909297|81001|1|24075,2006,3192.4883,1,4.0,3.0,1
024911016907292|81001|2|24077,2006,2864.0627,4,4.0,1.0,0
640209918260175|81001|2|24077,2006,2784.7942,3,1.0,1.0,1
822839660069407|81001|2|24077,2006,2642.5686,4,4.0,1.0,0
927062818469680|81001|1|24077,2006,2753.886,3,4.0,1.0,0
962012820469350|81001|1|24077,2006,2960.823,3,4.0,1.0,0
986062884469520|81001|2|24077,2006,2852.903,3,4.0,1.0,1
499956905007279|81001|2|24077,2006,2562.228,4,4.0,1.0,0
289920028230964|81001|1|24077,2006,2743.1555,3,4.0,1.0,1
037454640781291|81001|2|24077,2006,463.5046,1,4.0,1.0,1
266490129400259|81001|1|24077,2006,435.1985,3,4.0,1.0,0
489830325310964|81001|1|24077,2006,395.8389,2,3.0,1.0,0
492906201056492|81001|2|24077,2006,439.2771,4,4.0,1.0,0
492906201056492|81001|3|24077,2006,459.845,4,4.0,1.0,0
814469940309401|81001|1|24075,2006,451.0366,1,4.0,3.0,0
974054305469190|81001|1|24077,2006,435.1985,4,2.0,1.0,0
974054305469190|81001|2|24077,2006,477.9482,3,2.0,1.0,0
495946204088569|81001|2|24077,2006,2909.2654,4,3.0,0.0,0
054751096909593|81001|3|24077,2006,2300.6294,4,4.0,1.0,0
066469139600990|81001|2|24077,2006,282.1321,4,4.0,1.0,0
164366096909164|81001|2|24077,2006,317.8228,4,4.0,1.0,0
490986408016699|81001|2|24077,2006,288.2722,4,4.0,1.0,0
640606918421794|81001|1|24077,2006,316.8377,4,3.0,1.0,0
476916309060609|81001|1|24077,2006,399.6366,4,4.0,1.0,0
476916309060609|81001|2|24077,2006,400.4499,4,4.0,1.0,0
640607936019690|81001|1|24077,2006,416.5416,4,4.0,1.0,0
490916807008729|81001|2|24077,2006,4094.617,4,4.0,1.0,1
495936304092799|81001|2|24077,2006,3182.469,4,4.0,1.0,0
010724670967695|81001|2|24077,2006,2940.42,4,4.0,1.0,1
164465109700957|81001|1|24077,2006,3039.3225,4,4.0,1.0,0
440809980342897|81001|1|24075,2006,2442.8445,2,4.0,3.0,0
493916502081847|81001|1|24077,2006,2325.186,4,4.0,1.0,0
564498429800973|81001|1|24077,2006,2556.8142,1,4.0,1.0,1
128230460060405|81001|1|24077,2006,3871.9568,4,4.0,1.0,0
888209160939405|81001|2|24077,2006,3516.4053,4,4.0,1.0,0
106906684993648|81001|2|24077,2006,2469.5737,4,4.0,1.0,0
520980069946909|81001|2|24077,2006,2278.5486,4,4.0,1.0,0
981078966439500|81001|1|24074,2006,2516.8447,1,4.0,4.0,0
006903364996468|81001|2|24077,2006,2516.8481,4,4.0,1.0,1
384208076909793|81001|1|24077,2006,2597.4194,4,4.0,1.0,0
640909959975949|81001|1|24077,2006,1138.2736,3,4.0,1.0,1
830592092946799|81001|2|24077,2006,1138.2736,4,4.0,1.0,0
666495699900922|81001|2|24077,2006,1102.1906,4,4.0,1.0,0
369560694000813|81001|1|24077,2006,324.1805,1,4.0,1.0,0
405006955101780|81001|2|24076,2006,334.481,3,4.0,2.0,0
593926107054019|81001|2|24077,2006,273.267,4,4.0,1.0,0
860869060856502|81001|2|24077,2006,405.5401,4,4.0,1.0,0
960554560506505|81001|2|24077,2006,305.1096,4,4.0,1.0,0
110260060690506|81001|1|24077,2006,380.7737,4,4.0,1.0,0
590986304039017|81001|1|24077,2006,302.2868,4,4.0,1.0,0
866592009100925|81001|1|24077,2006,4483.946,4,4.0,1.0,1
315603026909595|81001|2|24077,2006,3014.88,4,4.0,1.0,0
597936103017129|81001|1|24077,2006,2450.4634,3,4.0,1.0,0
389010091460965|81001|2|24077,2006,2343.072,2,4.0,1.0,1
577976208051399|81001|2|24077,2006,2779.4785,4,4.0,1.0,0
893609160149500|81001|1|24077,2006,2619.285,2,4.0,1.0,1
910043860569190|81001|1|24077,2006,2482.3738,4,4.0,1.0,0
154430760110502|81001|1|24077,2006,1237.4794,4,4.0,1.0,0
045544046909566|81001|2|24077,2006,960.4104,2,4.0,1.0,0
763597549400976|81001|2|24077,2006,1280.5571,2,4.0,1.0,1
468596249500964|81001|1|24077,2006,2161.3772,2,4.0,1.0,0
037115350997797|81001|1|24074,2006,2128.3289,1,4.0,4.0,1
092995650966196|81001|1|24077,2006,1999.8385,4,4.0,1.0,0
589190562310965|81001|2|24077,2006,2585.9148,4,4.0,1.0,0
306905825994245|81001|2|24077,2006,2823.3538,4,4.0,1.0,0
361572619500948|81001|1|24077,2006,1819.8082,4,4.0,1.0,0
900095929539240|81002|1|24074,2006,2229.0977,1,4.0,4.0,0
900095929539240|81002|2|24074,2006,2028.6973,1,4.0,4.0,0
765215016909463|81001|2|24077,2006,310.3153,4,3.0,1.0,0
650609931735475|81001|2|24077,2006,263.2028,3,4.0,1.0,0
199750811410670|81001|1|24078,2006,3098.981,4,4.0,1.0,0
210312097001502|81001|2|24078,2006,3701.8364,4,4.0,1.0,0
299030002970670|81001|1|24078,2006,348.5848,3,4.0,1.0,0
207904430596994|81001|1|24078,2006,4005.8525,4,4.0,1.0,0
207904430596994|81001|2|24078,2006,3656.8462,4,4.0,1.0,0
009017304098421|81001|2|24078,2006,3461.2761,2,3.0,1.0,0
599120788380970|81001|2|24078,2006,1547.1464,4,4.0,1.0,0
054950750699598|81001|2|24078,2006,1524.99,4,4.0,1.0,0
060719047908597|81001|1|24078,2006,3097.3313,4,4.0,1.0,1
060719047908597|81001|2|24078,2006,2646.3254,4,4.0,1.0,0
065240760973297|81001|1|24078,2006,3183.2073,4,4.0,1.0,0
107906130696406|81001|2|24078,2006,3496.547,4,1.0,0.0,0
560967097207679|81001|1|24078,2006,3250.1938,4,4.0,1.0,0
700600080217018|81001|2|24078,2006,2799.5896,3,3.0,1.0,0
772092567600543|81001|2|24078,2006,3710.8293,4,4.0,1.0,0
932006936079580|81001|1|24078,2006,3317.651,2,3.0,1.0,0
960046736079040|81001|2|24078,2006,3175.66,4,4.0,1.0,0
029850760993278|81001|4|24078,2006,3429.392,4,4.0,1.0,0
460399037903295|81001|4|24078,2006,3269.3716,4,4.0,1.0,0
627970109080970|81001|2|24078,2006,3365.1504,3,4.0,1.0,0
679660541590970|81001|1|24078,2006,3621.199,4,4.0,1.0,0
900661099106009|81001|1|24077,2006,3344.525,3,4.0,1.0,0
900661099106009|81001|2|24077,2006,3074.8647,3,4.0,1.0,0
768679770097005|81001|1|24078,2006,1731.0872,4,4.0,1.0,0
775013590800179|81001|2|24078,2006,1560.5427,4,4.0,1.0,0
899980910530970|81001|1|24078,2006,1619.1775,4,4.0,1.0,0
790341007001316|81001|2|24078,2006,1108.9254,1,1.0,0.0,0
927079708079480|81001|1|24078,2006,1080.7224,4,4.0,1.0,0
927079708079480|81001|2|24078,2006,1132.0352,3,4.0,1.0,0
999350246710970|81001|1|24078,2006,1045.6155,4,4.0,1.0,0
999350246710970|81001|2|24078,2006,1072.1652,4,4.0,1.0,1
101065202077021|81001|1|24076,2006,330.0279,2,4.0,2.0,0
474196408000831|81001|1|24078,2006,471.1865,3,4.0,1.0,0
129180597600751|81001|1|24076,2006,314.7168,2,3.0,1.0,0
289130589880961|81001|1|24077,2006,3385.2441,2,4.0,1.0,0
194967402068248|81001|2|24078,2006,3725.2861,4,4.0,1.0,0
279450953190971|81001|1|24078,2006,3443.7356,3,4.0,1.0,0
279450953190971|81001|2|24078,2006,3739.6013,4,4.0,1.0,0
299670044870971|81001|2|24078,2006,3802.92,4,4.0,1.0,0
710209902317967|81001|1|24078,2006,3219.7905,3,3.0,1.0,0
721139007906792|81001|2|24078,2006,3309.9016,4,4.0,1.0,0
194917800026358|81001|1|24078,2006,2465.5125,4,4.0,1.0,0
399150409040971|81001|2|24078,2006,3341.466,4,3.0,1.0,0
955083989179170|81001|1|24078,2006,3177.3206,4,4.0,1.0,0
990935091117149|81001|1|24078,2006,2465.5125,4,4.0,1.0,0
190967404034518|81001|1|24078,2006,585.163,4,4.0,1.0,0
520755096017799|81001|1|24078,2006,623.9279,4,4.0,1.0,0
610509975069676|81001|1|24077,2006,516.3939,3,4.0,1.0,0
073671770693096|81001|3|24078,2006,2675.5183,2,4.0,1.0,0
870970099017739|81001|2|24078,2006,2968.0442,3,4.0,1.0,0
981027949179120|81001|1|24078,2006,3594.0608,4,3.0,1.0,0
710800047561419|81001|1|24078,2006,3302.693,4,4.0,1.0,0
899140358870971|81001|2|24078,2006,2343.9358,4,4.0,1.0,0
937088956179600|81001|2|24078,2006,2343.9358,4,4.0,1.0,0
929209770177106|81001|1|24078,2006,1115.3173,4,4.0,1.0,0
005905552891390|81001|1|24076,2006,1433.1835,2,4.0,2.0,0
407903642690800|81001|2|24078,2006,1615.8651,4,4.0,1.0,0
908070707279320|81001|1|24078,2006,1205.1642,4,4.0,1.0,0
921209170166203|81001|3|24078,2006,2315.5996,4,4.0,1.0,0
979263004100937|81001|3|24078,2006,2918.189,4,4.0,1.0,0
901071981279920|81001|2|24078,2006,2223.9978,4,4.0,1.0,0
207901862898762|81001|2|24078,2006,3333.6492,4,4.0,1.0,0
294974407030249|81001|2|24075,2006,2724.9014,1,3.0,3.0,0
907903302899072|81001|1|24078,2006,2990.892,4,4.0,1.0,0
507605242947143|81001|1|24078,2006,502.5571,1,4.0,1.0,1
807603622949533|81001|1|24078,2006,522.7372,4,4.0,1.0,0
807603622949533|81001|2|24078,2006,440.4221,4,4.0,1.0,0
047532730790291|81001|2|24078,2006,409.6342,3,4.0,1.0,0
720300003091916|81001|1|24078,2006,444.4539,4,4.0,1.0,0
298947305064485|81001|2|24078,2006,1669.6339,3,3.0,1.0,0
374294589400568|81001|1|24078,2006,1567.0808,4,4.0,1.0,0
930074941279630|81001|2|24078,2006,1781.5732,4,4.0,1.0,0
954769570929200|81001|1|24078,2006,1693.8602,3,4.0,1.0,1
579120979480972|81001|1|24078,2006,3315.6147,3,4.0,1.0,0
599600390240972|81001|2|24078,2006,3277.3208,4,4.0,1.0,0
260962091027749|81001|1|24078,2006,3001.5942,4,4.0,1.0,0
260962091027749|81001|2|24078,2006,2125.3276,4,4.0,1.0,0
340967098727919|81001|1|24078,2006,3307.724,4,4.0,1.0,0
340967098727919|81001|2|24078,2006,3456.3174,1,4.0,1.0,1
679250482690952|81001|2|24076,2006,2884.5344,1,3.0,2.0,1
872298489600690|81001|2|24078,2006,2091.3538,3,4.0,1.0,0
166420770880208|81001|2|24078,2006,1788.0952,4,4.0,1.0,0
293907509014748|81001|1|24078,2006,1624.779,4,4.0,1.0,0
720707939720288|81001|2|24078,2006,1683.8997,1,4.0,1.0,0
799690666740672|81001|1|24078,2006,1741.1919,4,4.0,1.0,0
942087972279210|81001|2|24078,2006,1456.912,4,4.0,1.0,0
972161077001317|81001|2|24078,2006,1521.6102,4,4.0,1.0,0
999290302530972|81001|1|24078,2006,2613.5024,4,4.0,1.0,0
992493097001205|81001|1|24078,2006,2503.0142,4,4.0,1.0,0
910993060926064|81001|1|24077,2006,2656.7544,3,4.0,1.0,1
996029969279910|81001|1|24078,2006,2732.5002,4,4.0,1.0,0
999570660920672|81001|1|24078,2006,2708.164,4,4.0,1.0,0
099660425370973|81001|1|24078,2006,810.5185,4,3.0,1.0,0
099960751770973|81001|1|24078,2006,663.1025,4,4.0,1.0,1
179570153860773|81001|1|24078,2006,723.3246,4,4.0,1.0,0
025071139360100|81001|1|24077,2006,959.3021,3,3.0,1.0,0
379369414100931|81001|1|24078,2006,706.7824,4,4.0,1.0,0
220912099037389|81001|1|24078,2006,699.4683,4,4.0,1.0,0
220912099037389|81001|2|24078,2006,721.9539,4,4.0,1.0,0
730100094473315|81001|1|24078,2006,723.2054,4,4.0,1.0,0
807900893891721|81001|2|24078,2006,724.2561,1,4.0,1.0,0
378987406070208|81001|1|24078,2006,1286.6813,3,4.0,1.0,0
730309931826481|81001|2|24078,2006,434.5491,4,4.0,1.0,1
981003789379090|81001|1|24078,2006,463.0682,2,4.0,1.0,0
607901423692523|81001|2|24078,2006,463.0682,4,4.0,1.0,0
670934092437019|81001|1|24078,2006,465.0826,4,4.0,1.0,0
220935090337719|81001|2|24078,2006,461.9895,3,4.0,1.0,0
306007100013301|81001|1|24078,2006,472.7184,4,4.0,1.0,0
499030602620973|81001|1|24078,2006,2809.1394,4,4.0,1.0,0
499120979480973|81001|1|24078,2006,2809.1394,4,4.0,1.0,0
750944097737639|81001|1|24078,2006,4102.958,4,4.0,1.0,0
750944097737639|81001|2|24078,2006,2809.1394,4,4.0,1.0,0
854679740769302|81002|1|24075,2006,2993.7192,1,4.0,3.0,0
943606077906695|81001|1|24078,2006,2756.5166,3,4.0,1.0,0
915459770749307|81001|1|24078,2006,1740.4467,4,4.0,1.0,1
210461097437139|81001|1|24078,2006,3051.8464,3,4.0,1.0,0
688250624900963|81001|1|24077,2006,3245.6423,2,2.0,1.0,1
937016414379120|81001|3|24078,2006,3628.9265,4,4.0,1.0,1
946579270189303|81001|1|24078,2006,3361.7808,4,4.0,1.0,0
946579270189303|81001|2|24078,2006,3361.7808,2,4.0,1.0,1
180767094337179|81001|1|24078,2006,2865.4944,4,4.0,1.0,0
394917506049658|81001|5|24078,2006,3174.0984,4,4.0,1.0,0
407908423897836|81001|2|24078,2006,2950.754,4,4.0,1.0,0
407908423897836|81001|3|24078,2006,3429.0635,4,4.0,1.0,1
410962099437979|81001|2|24078,2006,2909.7273,4,4.0,1.0,0
979056970379950|81001|1|24078,2006,3103.5874,1,4.0,1.0,1
699600373840973|81001|3|24078,2006,3239.275,4,4.0,1.0,0
936086943379070|81001|1|24078,2006,3160.3538,4,4.0,1.0,0
050770090337309|81001|1|24078,2006,2717.9194,4,3.0,1.0,0
220771093437019|81001|2|24078,2006,2717.9194,4,4.0,1.0,1
407005793109257|81001|2|24078,2006,2477.1833,4,4.0,1.0,0
673332097908891|81001|2|24078,2006,2717.9194,4,1.0,1.0,1
773391057001105|81001|1|24078,2006,2722.5852,4,4.0,1.0,0
979097908379020|81001|2|24078,2006,4071.269,4,4.0,1.0,0
059383770692498|81001|2|24078,2006,4026.8398,4,4.0,1.0,0
366367889700991|81001|2|24077,2006,2118.3296,3,4.0,1.0,0
547395519800938|81001|2|24075,2006,376.311,1,4.0,3.0,0
473374539800881|81001|1|24078,2006,422.5118,4,4.0,1.0,0
999360677190973|81001|2|24078,2006,2623.0303,2,4.0,1.0,0
759699450509302|81002|1|24076,2006,3205.398,2,4.0,2.0,0
919309270779309|81001|2|24078,2006,2608.0693,4,4.0,1.0,0
999670582040973|81001|4|24078,2006,2608.0693,4,4.0,1.0,0
949139570676302|81001|2|24078,2006,2313.0276,4,4.0,1.0,0
999350246710673|81001|2|24078,2006,3108.6165,4,4.0,1.0,0
062334700690794|81001|1|24078,2006,2604.6821,4,4.0,1.0,0
401007604094181|81001|2|24078,2006,2068.9421,4,4.0,1.0,0
279770986790974|81001|1|24078,2006,4074.6309,3,4.0,1.0,0
740209912902482|81001|2|24078,2006,2994.0908,3,4.0,1.0,0
740209977307287|81001|2|24078,2006,2927.861,4,3.0,1.0,0
299440954010674|81001|2|24078,2006,2940.5095,4,4.0,1.0,0
493986304053299|81001|2|24077,2006,2908.58,2,4.0,1.0,0
912089170406402|81001|1|24078,2006,2912.0742,4,4.0,1.0,0
924012957479270|81001|2|24078,2006,3171.2673,4,4.0,1.0,0
980022944479510|81001|1|24078,2006,2654.8167,3,4.0,1.0,0
982052907479850|81001|1|24078,2006,2912.0742,4,4.0,1.0,0
495947000087238|81001|1|24078,2006,2990.2595,4,4.0,1.0,0
444839035808897|81002|1|24076,2006,385.9116,2,4.0,2.0,0
477499519400150|81001|1|24078,2006,490.2289,4,4.0,1.0,0
740409921262787|81001|2|24078,2006,419.6575,4,4.0,1.0,0
954389670429402|81001|2|24078,2006,511.8409,4,2.0,0.0,0
207603064949925|81001|1|24078,2006,2117.016,4,4.0,1.0,0
956209970129409|81001|1|24078,2006,301.99,4,4.0,1.0,0
674475599600885|81001|2|24078,2006,333.2824,4,4.0,1.0,0
495927001060785|81001|1|24078,2006,3220.7437,4,4.0,1.0,0
562490269700981|81001|3|24077,2006,2246.5056,3,4.0,1.0,0
205904554892668|81001|1|24076,2006,3437.9114,1,4.0,2.0,1
584130045908190|81001|1|24076,2006,3168.7805,2,4.0,2.0,0
606901764992168|81001|1|24077,2006,2726.1526,3,4.0,1.0,0
740800008227116|81001|2|24078,2006,3327.044,1,4.0,1.0,1
740809925207584|81001|2|24078,2006,3281.2432,4,4.0,1.0,0
809670238350944|81001|2|24075,2006,3057.7864,1,1.0,1.0,1
458469670259402|81001|2|24078,2006,3576.0664,4,4.0,1.0,0
600981065245779|81001|2|24076,2006,3970.5632,2,4.0,2.0,0
740809928558984|81001|1|24078,2006,3115.9602,3,3.0,0.0,0
907902444597908|81001|2|24078,2006,3351.3762,4,4.0,1.0,0
178860760010401|81001|2|24077,2006,2538.7866,3,4.0,1.0,0
899090746670674|81001|2|24078,2006,3164.5334,3,4.0,1.0,0
969058958479830|81001|1|24078,2006,3106.356,4,4.0,1.0,0
760987095447279|81001|1|24078,2006,3144.6873,4,4.0,1.0,0
978259770769404|81001|2|24078,2006,3345.2297,4,4.0,1.0,0
740909936971687|81001|1|24078,2006,1952.2537,4,4.0,1.0,0
979030098960974|81001|1|24078,2006,1738.7963,4,4.0,1.0,0
929899870559407|81001|1|24078,2006,1279.7213,4,4.0,1.0,0
929899870559407|81001|2|24078,2006,1352.1254,4,4.0,1.0,0
044865700698296|81001|2|24078,2006,299.4667,4,4.0,1.0,0
099960615770975|81001|2|24078,2006,269.3091,4,4.0,1.0,0
105779097908291|81001|3|24078,2006,299.4667,1,2.0,0.0,1
130905096257789|81001|2|24078,2006,293.0146,4,4.0,1.0,0
561427306041089|81001|2|24078,2006,269.3091,3,4.0,1.0,1
015252086909690|81001|1|24077,2006,2761.7134,3,4.0,1.0,0
710912094057709|81001|1|24078,2006,2173.692,3,4.0,1.0,0
700119004256990|81001|2|24077,2006,2555.1243,3,4.0,1.0,0
911689570789507|81001|2|24078,2006,2128.1992,1,4.0,1.0,1
951679970649500|81001|2|24078,2006,2737.7402,4,4.0,1.0,0
750301001265512|81001|4|24078,2006,2615.662,4,3.0,1.0,1
499490824520675|81001|2|24078,2006,1035.9569,4,4.0,1.0,0
499810323980975|81001|1|24078,2006,1044.9236,4,4.0,1.0,0
007003155109984|81001|1|24078,2006,1170.8531,4,4.0,1.0,1
995569570069500|81001|2|24078,2006,2022.2465,4,3.0,0.0,0
270455095157539|81001|2|24078,2006,2004.3636,4,4.0,1.0,0
704065907579880|81001|1|24078,2006,1988.7911,4,4.0,1.0,0
699830011470975|81001|2|24078,2006,324.6946,4,4.0,1.0,0
720164015556520|81001|1|24077,2006,291.3251,3,4.0,1.0,0
918046970579310|81001|1|24078,2006,283.0417,4,4.0,1.0,0
957056997579930|81001|2|24078,2006,341.6181,4,4.0,1.0,0
598957009087668|81001|1|24078,2006,331.7283,4,4.0,1.0,0
976086931579820|81001|1|24078,2006,321.922,4,1.0,0.0,0
008609970995621|81001|1|24079,2006,2878.9944,4,4.0,2.0,0
608602270999831|81001|1|24079,2006,2387.6428,4,4.0,2.0,0
110580732600080|81001|1|24079,2006,2724.4753,4,4.0,2.0,0
887065299200994|81001|2|24079,2006,267.9319,4,4.0,2.0,0
078610840988093|81001|1|24079,2006,3401.1702,4,4.0,2.0,0
092948208035472|81001|2|24079,2006,3946.1003,4,3.0,1.0,0
093260840934499|81001|1|24079,2006,3764.8801,4,4.0,2.0,0
305904370591064|81003|3|24076,2006,3392.358,1,3.0,2.0,1
439990642340980|81001|1|24079,2006,4068.7075,4,4.0,2.0,0
786096148400730|81001|1|24079,2006,4338.633,1,4.0,2.0,1
800409874061376|81001|2|24079,2006,3714.1675,4,4.0,2.0,1
800509912883778|81001|1|24079,2006,1861.894,4,4.0,2.0,0
808908830797125|81001|1|24079,2006,1645.5344,4,2.0,0.0,0
783069289500905|81001|2|24079,2006,1645.9108,4,4.0,2.0,0
750252038909291|81001|1|24079,2006,1884.0586,4,4.0,2.0,0
750252038909291|81001|2|24079,2006,1704.3455,4,4.0,2.0,0
660102048909994|81001|1|24079,2006,3047.342,4,4.0,2.0,0
679640600030970|81001|2|24078,2006,3011.5598,1,4.0,1.0,0
010220660964896|81002|1|24077,2006,3298.7393,2,4.0,1.0,0
077950860952196|81001|1|24079,2006,3362.8032,4,4.0,2.0,0
360166048002100|81001|1|24079,2006,3206.0107,4,4.0,2.0,0
808901120794316|81001|2|24079,2006,2574.939,2,4.0,2.0,1
985093228600921|81001|2|24079,2006,3243.027,4,4.0,2.0,1
996076825089470|81001|1|24079,2006,2915.6086,4,3.0,2.0,1
208907160995476|81001|2|24079,2006,3341.622,3,4.0,2.0,0
080792048909999|81001|2|24079,2006,1494.9697,4,4.0,2.0,0
800182005908570|81001|1|24079,2006,1829.4523,4,4.0,2.0,0
968899970099003|81001|2|24078,2006,1581.0496,3,4.0,1.0,1
072948906073819|81001|2|24079,2006,1490.861,4,4.0,2.0,1
098928207094829|81001|1|24079,2006,1697.409,4,4.0,2.0,0
780229028909498|81001|1|24079,2006,1622.9056,4,4.0,2.0,0
780229028909498|81001|2|24079,2006,1697.409,4,4.0,2.0,0
074948204005937|81001|1|24079,2006,1026.0415,4,4.0,2.0,0
508703440790249|81001|3|24079,2006,1113.65,4,4.0,2.0,0
401089065409461|81001|1|24076,2006,317.8774,1,4.0,2.0,1
059661800700697|81001|1|24079,2006,442.1936,4,4.0,2.0,0
