code,n_monthly_2005_07,label
4840,8781,"Sales representatives of services, except advertising, insurance, financial services, and travel"
4850,22909,"Sales representatives, wholesale and manufacturing"
4900,1314,"Models, demonstrators, and product promoters"
4920,16875,Real estate brokers and sales agents
4930,609,Sales engineers
4940,3320,Telemarketers
4950,5057,"Door-to-door sales workers, news and street vendors, and related workers"
4960,3921,
5000,26747,First-Line supervisors of office and administrative support workers
5010,906,"Switchboard operators, including answering service"
5020,880,Telephone operators
5030,169,
5100,3590,Bill and account collectors
5110,7133,Billing and posting clerks
5120,26581,"Bookkeeping, accounting, and auditing clerks"
5130,312,Gambling cage workers
5140,2849,Payroll and timekeeping clerks
5150,499,Procurement clerks
5160,7588,Tellers
5200,174,Brokerage clerks
5210,154,Correspondence clerks
5220,1835,"Court, municipal, and license clerks"
5230,953,"Credit authorizers, checkers, and clerks"
5240,32172,Customer service representatives
5250,1143,"Eligibility interviewers, government programs"
5260,6550,File clerks
5300,2351,"Hotel, motel, and resort desk clerks"
5310,2785,"Interviewers, except eligibility and loan"
5320,2127,"Library assistants, clerical"
5330,2975,Loan interviewers and clerks
5340,300,New accounts clerks
5350,2130,Order clerks
5360,1067,"Human resources assistants, except payroll and timekeeping"
5400,24672,Receptionists and information clerks
5410,2824,Reservation and transportation ticket agents and travel clerks
5420,1651,"Information and record clerks, all other"
5500,358,Cargo and freight agents
5510,4555,Couriers and messengers
5520,4888,
5530,705,"Meter readers, utilities"
5540,2658,Postal service clerks
5550,5729,Postal service mail carriers
5560,1653,"Postal service mail sorters, processors, and processing machine operators"
5600,4824,"Production, planning, and expediting clerks"
5610,9025,"Shipping, receiving, and inventory clerks"
5620,25370,
5630,1281,"Weighers, measurers, checkers, and samplers, recordkeeping"
5700,60687,
5800,2907,
5810,8445,Data entry keyers
5820,4429,Word processors and typists
5830,114,Desktop publishers
5840,4586,Insurance claims and policy processing clerks
5850,2159,"Mail clerks and mail machine operators, except postal service"
5860,17756,"Office clerks, general"
5900,899,"Office machine operators, except computer"
5910,258,Proofreaders and copy markers
5920,408,Statistical assistants
5930,10212,
6000,871,
6010,341,Agricultural inspectors
6020,158,Animal breeders
6040,1356,"Graders and sorters, agricultural products"
6050,14363,Miscellaneous agricultural workers
6100,1252,
6110,42,
6120,284,Forest and conservation workers
6130,1791,Logging workers
6200,16764,First-line supervisors of construction trades and extraction workers
6210,369,Boilermakers
6220,3962,"Brickmasons, blockmasons, and stonemasons"
6230,32646,Carpenters
6240,4350,"Carpet, floor, and tile installers and finishers"
6250,1861,"Cement masons, concrete finishers, and terrazzo workers"
6260,28098,Construction laborers
6300,524,
6310,61,
6320,8721,
6330,4403,"Drywall installers, ceiling tile installers, and tapers"
6350,15034,
6360,737,Glaziers
6400,890,Insulation workers
6420,11729,
6430,121,
6440,11386,
6460,1003,Plasterers and stucco masons
6500,163,Reinforcing iron and rebar workers
6510,4265,
6520,2469,Sheet metal workers
6530,1191,Structural iron and steel workers
6600,2067,"Helpers, construction trades"
6660,1806,Construction and building inspectors
6700,425,Elevator and escalator installers and repairers
6710,610,Fence erectors
6720,506,Hazardous materials removal workers
6730,1925,Highway maintenance workers
6740,250,Rail-track laying and maintenance equipment operators
6750,170,Septic tank servicers and sewer pipe cleaners
6760,652,
6800,850,"Derrick, rotary drill, and service unit operators, oil and gas"
6820,701,
6830,166,
6840,1362,
6910,104,
6920,87,"Roustabouts, oil and gas"
6930,121,
6940,953,
7000,5574,"First-line supervisors of mechanics, installers, and repairers"
7010,5837,"Computer, automated teller, and office machine repairers"
7020,3478,Radio and telecommunications equipment installers and repairers
7030,269,Avionics technicians
7040,593,"Electric motor, power tool, and related repairers"
7050,59,"Electrical and electronics installers and repairers, transportation equipment"
7100,253,"Electrical and electronics repairers, industrial and utility"
7110,390,"Electronic equipment installers and repairers, motor vehicles"
7120,879,Audiovisual equipment installers and repairers
7130,939,Security and fire alarm systems installers
7140,2227,Aircraft mechanics and service technicians
7150,2712,Automotive body and related repairers
7160,298,Automotive glass installers and repairers
7200,14853,Automotive service technicians and mechanics
7210,6138,Bus and truck mechanics and diesel engine specialists
7220,4247,Heavy vehicle and mobile equipment service technicians and mechanics
7240,1173,Small engine mechanics
7260,1535,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7300,377,Control and valve installers and repairers
7310,6596,
7320,874,Home appliance repairers
7330,7167,Industrial and refractory machinery mechanics
7340,6941,"Maintenance and repair workers, general"
7350,971,"Maintenance workers, machinery"
7360,1150,Millwrights
7410,1992,Electrical power-line installers and repairers
7420,3093,Telecommunications line installers and repairers
7430,1066,Precision instrument and equipment repairers
7510,1022,"Coin, vending, and amusement machine servicers and repairers"
7520,85,Commercial divers
7540,434,Locksmiths and safe repairers
7550,228,Manufactured building and mobile home installers
