pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
527362189800974|80001|1,TNTN,TNTT,TNTN-TNTT,4,2,3
527363189500978|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
529019440577003|81001|1,TT..,.NTT,TT..-.NTT,2,2,0
529096109100961|87001|1,T...,....,T...-....,1,1,0
529097599800999|83001|1,TTTT,....,TTTT-....,4,4,0
529260489900938|82001|1,TTTT,NEE.,TTTT-NEE.,4,4,0
529360889000923|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
529450301230911|83001|1,TTTT,....,TTTT-....,4,4,0
529580195860931|80001|2,TTN.,....,TTN.-....,3,2,1
529609820589202|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
529650059270731|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
530109905412468|81001|1,TTTT,....,TTTT-....,4,4,0
530173095418438|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
530209975257137|82001|1,TTTT,....,TTTT-....,4,4,0
530209996829551|82001|2,TTTT,....,TTTT-....,4,4,0
530209996829551|82001|3,TT..,....,TT..-....,2,2,0
530306475069696|83001|1,TTTT,....,TTTT-....,4,4,0
530309901265562|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
530392729600646|80001|2,TTTN,NNNN,TTTN-NNNN,4,3,1
530609952384764|80001|1,TTTT,NTTT,TTTT-NTTT,4,4,0
530709912883768|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
530709979244468|80001|1,TTTT,TT.T,TTTT-TT.T,4,4,0
530803095432439|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
530809943145863|81001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
530933065427434|82001|1,TTTT,....,TTTT-....,4,4,0
530934068522524|81001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
530943095423439|81001|1,TTT.,NTTN,TTT.-NTTN,3,3,0
530987063348879|83001|1,T...,....,T...-....,1,1,0
531006982820594|83001|1,TTTT,....,TTTT-....,4,4,0
531013120800182|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
531539004909196|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
531879043001304|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
531879043001304|82001|1,TTTT,....,TTTT-....,4,4,0
532388086907897|83001|2,TTT.,....,TTT.-....,3,3,0
532579349500848|83001|1,TTUT,....,TTUT-....,4,3,2
532905042909761|87001|1,T...,....,T...-....,1,1,0
532905042909761|87001|2,T...,....,T...-....,1,1,0
532961074909478|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
533287098907578|83001|1,T...,....,T...-....,1,1,0
533503240300139|83001|2,NNNT,....,NNNT-....,4,1,1
533512055908290|82001|1,TTTT,....,TTTT-....,4,4,0
533625007908271|83001|1,TT..,....,TT..-....,2,2,0
535109880000116|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
535197819300898|83001|2,TTTT,....,TTTT-....,4,4,0
535207030600134|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
535207030600134|83001|1,EEET,....,EEET-....,4,1,1
535266059300955|83001|2,TTTT,....,TTTT-....,4,4,0
535499889200616|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
535619077908099|82001|2,EEET,....,EEET-....,4,1,1
536619660059005|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
537391479500874|83001|1,NTNN,....,NTNN-....,4,1,2
537492189200674|81001|2,TTTT,ENNN,TTTT-ENNN,4,4,0
537497439800840|83001|2,TTTT,....,TTTT-....,4,4,0
539197439200839|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
539463049800978|83001|2,TEEE,....,TEEE-....,4,1,1
540009905627961|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
540209940164364|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
540209940164364|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
540407940164384|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
540409924593062|83001|1,TTTT,....,TTTT-....,4,4,0
540415037805991|82001|1,TTTT,....,TTTT-....,4,4,0
540415037906991|82001|2,TTTT,....,TTTT-....,4,4,0
540507942881785|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
540507942881785|83001|1,TTTT,....,TTTT-....,4,4,0
540606482820594|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
540809906316860|83001|1,TTTT,....,TTTT-....,4,4,0
540809939206253|82001|1,TTTT,....,TTTT-....,4,4,0
540973074127729|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
540973074127729|80001|1,T...,NNNN,T...-NNNN,1,1,0
540973074127729|82001|3,TTTT,....,TTTT-....,4,4,0
542395509400921|83001|2,UNNT,....,UNNT-....,4,1,2
542486036907498|79001|1,E.TE,EE.E,E.TE-EE.E,3,1,2
542486036907498|80001|3,TTTT,EEEE,TTTT-EEEE,4,4,0
542486038909478|79001|1,TTTT,NNNN,TTTT-NNNN,4,4,0
542842084909073|81001|2,TTTT,TTTE,TTTT-TTTE,4,4,0
543198969800950|82001|1,ETTT,E...,ETTT-E...,4,3,1
543198969800950|83001|2,TTTT,....,TTTT-....,4,4,0
543309560707308|83001|2,TTT.,....,TTT.-....,3,3,0
543389018909795|79001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
543389018909795|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
543486035908498|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
543682066909890|83001|2,TTT.,....,TTT.-....,3,3,0
544074031906372|82001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
544090939600914|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
544194439200945|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
544197819700912|83001|1,TT..,....,TT..-....,2,2,0
544197819700912|83001|2,TT..,....,TT..-....,2,2,0
544729220589003|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
544869098907675|82001|1,TTTT,....,TTTT-....,4,4,0
544905047901791|80001|2,TTTT,NNNN,TTTT-NNNN,4,4,0
545079889900916|81001|1,TTTT,TETT,TTTT-TETT,4,4,0
545079889900916|82001|1,TTTT,T...,TTTT-T...,4,4,0
545499889200416|83001|2,TTTT,....,TTTT-....,4,4,0
545767076909394|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
546374229300921|80001|1,TTTT,NNNN,TTTT-NNNN,4,4,0
547071479900774|83001|2,E..T,....,E..T-....,2,1,1
547193039300953|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
547395519800938|81001|2,EEET,TTTT,EEET-TTTT,4,1,1
547398119500944|82001|1,TTTT,T...,TTTT-T...,4,4,0
547591689300768|82001|1,TTTT,T...,TTTT-T...,4,4,0
547593039100953|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
547593039100953|81001|1,TTTN,....,TTTN-....,4,3,1
548099977600414|81001|2,TTTT,.NNN,TTTT-.NNN,4,4,0
548099977600414|82001|2,TTTT,T...,TTTT-T...,4,4,0
548194229800944|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
548194229800944|81001|3,NTTN,....,NTTN-....,4,2,2
548394229700944|83001|2,TTTT,....,TTTT-....,4,4,0
548396239700993|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
549076379800769|80001|2,NTTT,....,NTTT-....,4,3,1
549076379800769|82001|1,TTTT,....,TTTT-....,4,4,0
549076379800769|82001|3,TTTT,....,TTTT-....,4,4,0
549076379800769|82001|4,TEUE,E...,TEUE-E...,4,1,3
549392499600934|83001|1,TTTT,....,TTTT-....,4,4,0
549592499500934|83001|1,TTTT,....,TTTT-....,4,4,0
549750666900931|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
549790203580915|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
550006491771992|83001|2,NTTT,....,NTTT-....,4,3,1
550006926590184|83001|1,TTTT,....,TTTT-....,4,4,0
550009937384968|81001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
550106422665199|81001|1,TTTN,EEEE,TTTN-EEEE,4,3,1
550128002712080|83001|1,TTTT,....,TTTT-....,4,4,0
550430027909863|82001|2,TTTT,....,TTTT-....,4,4,0
550551032909069|82001|2,T.T.,TT..,T.T.-TT..,2,2,0
550609093126509|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
550609093126509|83001|1,TTT.,....,TTT.-....,3,3,0
550762095907929|79001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
550810068625374|81001|1,TTTN,....,TTTN-....,4,3,1
550920098611379|83001|1,TTNT,....,TTNT-....,4,3,2
550930075233129|80001|1,TTTT,....,TTTT-....,4,4,0
550948045001101|82001|1,TTTT,....,TTTT-....,4,4,0
550951070941859|80001|1,TT.T,TTTT,TT.T-TTTT,3,3,0
550951092303699|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
550966090901319|83001|2,TTTT,....,TTTT-....,4,4,0
550967090831769|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
550987060835769|82001|2,TTTT,....,TTTT-....,4,4,0
551647034909590|82001|1,TNNN,N...,TNNN-N...,4,1,1
552066259500854|81001|2,TTTT,.TTT,TTTT-.TTT,4,4,0
552295529200899|82001|1,TTTT,....,TTTT-....,4,4,0
552418048907393|81001|4,TTTT,....,TTTT-....,4,4,0
553374034909561|81001|1,NTTT,NTTN,NTTT-NTTN,4,3,1
553395879100516|82001|1,TTTT,....,TTTT-....,4,4,0
553399829400840|80001|2,NETT,..TT,NETT-..TT,4,2,2
553647031903590|83001|2,TTTT,....,TTTT-....,4,4,0
554093269800809|81001|1,TTNN,NNNN,TTNN-NNNN,4,2,1
554206040100137|83001|2,TTTT,....,TTTT-....,4,4,0
554270939700814|82001|1,TTTT,....,TTTT-....,4,4,0
554270939700814|82001|2,TTTT,....,TTTT-....,4,4,0
554392049900826|82001|2,TTTT,....,TTTT-....,4,4,0
554494439200345|81001|1,T.EE,TTTT,T.EE-TTTT,3,1,1
554915044909892|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
554929460597407|81001|2,T.EE,....,T.EE-....,3,1,1
555388086909897|83001|1,TTT.,....,TTT.-....,3,3,0
555499889200116|80001|3,T...,....,T...-....,1,1,0
555502084909596|83001|2,TTTT,....,TTTT-....,4,4,0
555781073906690|81001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
556204220200121|82001|2,TTTT,....,TTTT-....,4,4,0
557101470600174|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
557496019700827|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
557496019700827|82001|1,TTTT,....,TTTT-....,4,4,0
557561474000974|83001|1,UTTT,....,UTTT-....,4,3,1
558099979600314|82001|1,TTTT,....,TTTT-....,4,4,0
558306230400193|83001|1,EETT,....,EETT-....,4,2,1
558397609600891|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
558492939800881|83001|2,T.TT,....,T.TT-....,3,3,0
559190889600823|80001|2,TTTT,....,TTTT-....,4,4,0
559279560777001|79001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
559279560777001|83001|2,TTT.,....,TTT.-....,3,3,0
559870261470922|83001|2,TTNN,....,TTNN-....,4,2,1
560130041905190|80001|1,T.TT,TTTN,T.TT-TTTN,3,3,0
560234071708296|80001|1,TT..,....,TT..-....,2,2,0
560234071708296|81001|2,TETT,TTTT,TETT-TTTT,4,3,2
560234074904296|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
560234075901296|80001|3,TTTT,....,TTTT-....,4,4,0
560234076909296|79001|1,TTT.,TTTT,TTT.-TTTT,3,3,0
560275659100952|83001|1,TTT.,....,TTT.-....,3,3,0
560387097246679|79001|1,TTT.,....,TTT.-....,3,3,0
560463605028089|80001|2,TTTN,EET.,TTTN-EET.,4,3,1
560527092446899|80001|1,TEEE,TEEE,TEEE-TEEE,4,1,1
560622066909494|81001|1,TTTT,TT..,TTTT-TT..,4,4,0
560763098507478|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
560854084909792|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
560863098501476|81001|5,TEEE,EEEE,TEEE-EEEE,4,1,1
560889096238269|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
560889096238269|82001|1,TTTT,....,TTTT-....,4,4,0
560903098527479|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
560910074751439|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
560910094753439|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
560918094653359|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
560967097207679|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
560972061035239|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
560983078503479|81001|2,T...,TT..,T...-TT..,1,1,0
560989096233269|81001|3,TTTT,TTTT,TTTT-TTTT,4,4,0
561194259800962|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
561194259800962|82001|2,TTTT,....,TTTT-....,4,4,0
561268579900979|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
561391599100908|80001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
561427306041089|81001|2,TUTT,EEEE,TUTT-EEEE,4,3,2
561625006909291|80001|2,NTTT,TTTT,NTTT-TTTT,4,3,1
561694068909891|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
561869098909695|80001|2,ETTT,....,ETTT-....,4,3,1
561905043908791|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
561905043908791|83001|1,TNNN,....,TNNN-....,4,1,1
561944401012479|80001|1,UUTT,TTTT,UUTT-TTTT,4,2,1
561954505037489|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
562095529600999|83001|2,TT..,....,TT..-....,2,2,0
562167249500955|79001|1,TTTT,....,TTTT-....,4,4,0
562193689900970|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
562290269800981|81001|2,TTEN,NNNN,TTEN-NNNN,4,2,2
562290269800981|83001|2,TTT.,....,TTT.-....,3,3,0
562396259100954|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
562418046909393|81001|1,TE.N,TUET,TE.N-TUET,3,1,2
562420088909395|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
562481008069019|82001|1,UTUU,NTTT,UTUU-NTTT,4,1,2
562490269700981|81001|3,ETTT,TTTT,ETTT-TTTT,4,3,1
562583056909791|82001|2,TTTT,....,TTTT-....,4,4,0
562599180239109|82001|2,TTTT,....,TTTT-....,4,4,0
563175076909498|81001|2,TEET,TTTT,TEET-TTTT,4,2,2
563430028909893|82001|1,T.E.,....,T.E.-....,2,1,1
563592759400915|80001|2,EETE,EEEE,EETE-EEEE,4,1,2
563864074909698|82001|2,TTTT,T...,TTTT-T...,4,4,0
563879046907394|82001|2,TTTT,....,TTTT-....,4,4,0
563915047901892|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
563995706084439|83001|1,TTTT,....,TTTT-....,4,4,0
564175074909478|83001|2,TTTT,....,TTTT-....,4,4,0
564293077909760|80001|2,NTNU,UUUU,NTNU-UUUU,4,1,3
564498429800973|81001|1,TNNN,NNNN,TNNN-NNNN,4,1,1
564619074909099|80001|2,NTTT,TTTT,NTTT-TTTT,4,3,1
564778098909771|79001|1,TTTT,....,TTTT-....,4,4,0
564988707082609|83001|2,T...,....,T...-....,1,1,0
564992707044419|80001|2,TTNT,TTNT,TTNT-TTNT,4,3,2
565388082909867|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
565462500055058|80001|1,TTUU,....,TTUU-....,4,2,1
565486036909498|79001|1,TTTT,TT.T,TTTT-TT.T,4,4,0
565912704081419|80001|2,TTTT,UNNT,TTTT-UNNT,4,4,0
565982103013099|87001|2,T...,....,T...-....,1,1,0
566457400045049|80001|1,NTTT,TTTT,NTTT-TTTT,4,3,1
566943702067478|80001|1,TTNN,NNNE,TTNN-NNNE,4,2,1
566943702067478|81001|1,TTTT,TTT.,TTTT-TTT.,4,4,0
566943702067478|81001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
566964909062149|83001|1,TTTT,....,TTTT-....,4,4,0
567392189700974|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
567984004013109|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
567991106078489|80001|1,TTTT,TTTN,TTTT-TTTN,4,4,0
568464100015629|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
568750666900961|80001|2,NNTT,EE.E,NNTT-EE.E,4,2,1
