pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
579120979480972|81001|1,TT.T,ETTT,TT.T-ETTT,3,3,0
579420615360972|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
579700176580975|83001|1,TT..,....,TT..-....,2,2,0
579790735590953|83001|1,TTTT,....,TTTT-....,4,4,0
579940390160771|82001|1,T.TT,....,T.TT-....,3,3,0
579940390160771|82001|2,T.TT,....,T.TT-....,3,3,0
579956402036629|80001|4,NNNT,TTTT,NNNT-TTTT,4,1,1
580139095001008|83001|2,NNNT,....,NNNT-....,4,1,1
580168002918540|83001|2,T...,....,T...-....,1,1,0
580898092932549|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
580929090701109|80001|2,TTTT,T...,TTTT-T...,4,4,0
580930099617509|80001|1,TTTT,NNNN,TTTT-NNNN,4,4,0
582177249100755|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
582299560479002|82001|1,TTTT,....,TTTT-....,4,4,0
582575529000999|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
583062759100915|83001|1,T...,....,T...-....,1,1,0
583075339800744|83001|1,T...,....,T...-....,1,1,0
