fips,att,att_u55,relpay,pension,sh55,n_t
1,7.36384448705516,5.91143345834386,75.93466579318604,76.63984177245538,20.51226099872676,1246
2,10.197281861521974,7.750521777661251,86.23738271912313,80.3700103573159,22.105703595731185,1109
4,10.666054787225935,7.61412596233872,63.93343015333851,69.74407704068747,24.88388498752741,1031
5,7.726984228205552,5.677200026895268,77.40409964324267,76.9411492729265,23.198217052513197,1081
6,8.618473489257488,6.796154147244443,77.5753352759743,72.9506507727956,23.921092110991744,6583
8,10.539429115945289,8.186309031265782,67.77799499003119,73.89197087838191,22.648348648369996,1409
9,8.197490736414748,5.6592069731522034,79.7155909096959,74.04905897943937,26.835989704944872,1691
10,7.036943028704353,4.247231559920472,77.40818315737368,77.24807377499044,22.887559681118624,1100
11,14.324660474633394,13.19556265786953,69.91851719360966,66.54464259842503,19.04688083939423,984
12,8.783510796782233,6.719687250284583,73.17401381976066,68.1013857171541,24.90262713701223,3151
13,8.417719178663981,7.09565260239783,75.5013548576426,70.7208147475456,17.778204827018264,1861
15,10.701719168663407,8.884235800336931,81.63265306122449,72.98585423157837,27.259382000448255,1307
16,9.475994214807569,7.252902065345208,72.30015276712936,78.2242823999049,21.10562607394385,1016
17,8.930284423390516,6.3283633636204994,73.84765515748616,75.65083874233721,21.03913666442752,2604
18,7.680961992114815,5.583880208092641,78.9750557413601,76.2086263303637,23.63805909270013,1267
19,9.378416826116492,6.85420515435374,78.49860894685324,79.61761047319646,21.00951352651603,1355
20,8.192021808564473,7.01553054119536,72.10303325807931,79.09512993208259,23.216627651076532,1358
21,7.395438746453377,4.995388713322421,74.97912101542151,78.22343906466358,18.719924023589783,1104
22,7.503402115008212,5.589761407824731,70.18775990345152,73.06387511964951,20.62010474041671,1289
23,6.587605392421709,5.2287817509441,76.90111354335204,78.8884536833463,23.460490383345014,1243
24,8.772990538036405,6.656050717659238,69.44334919958115,72.5272768852282,22.782094235919185,1679
25,9.490395443498539,7.713386591281488,76.37485747032795,70.61894696181449,24.238074610539044,1829
26,8.831096904648291,6.5165497321430355,78.87697598270499,76.22925159900522,18.82128405041238,1873
27,7.491828177484705,5.410100227619945,75.14487731463227,81.04622497122766,24.393090745554165,1670
28,7.538535819009532,5.124342355398205,74.79022656020176,74.49632669718098,19.106081676033483,1146
29,8.052046225596186,4.899328141885407,69.4130380150007,79.48206009052792,19.409144406572644,1239
30,13.133586702855407,9.417809649896121,82.91344021291427,78.9830205827568,23.048466522350118,1020
31,7.754132664396218,4.037954680379373,74.94630454708094,80.81480143585466,23.093171000792363,1339
32,7.133581745287368,6.8791312358913785,80.89324357535504,77.06336770728448,19.879371790390746,944
33,7.732477646569577,6.107916285231754,72.67904001945203,74.95513173616274,28.425654750562412,1573
34,6.9533416540606785,5.746985384798677,73.09325799812298,73.33125328923087,21.644114118469236,2228
35,8.998853873939941,5.797008693082324,70.66188891543678,73.26538508028445,25.13257991059021,1176
36,8.230983460601994,6.023651190131283,87.08902240954548,74.26086661039645,19.81152325224181,4229
37,9.294689000086459,7.460793000943065,66.89110986145904,73.02695100199999,20.77989612055968,1691
38,6.514359843204135,5.815565401217546,79.5864704106489,80.07510031311672,20.680791805829802,1238
39,8.469137990676453,6.264460298700837,77.74041493117824,79.86162533633329,20.29221149446188,2338
40,7.095059105805163,5.32134151093458,67.3913043478261,77.00941585897577,21.376558542387972,1129
41,12.39545775413949,9.153223056184189,77.33762514874184,77.03661931003141,24.496241689141797,1083
42,8.502893828939127,6.679413801113451,79.70207615738937,77.48909915347511,19.637323327501562,2606
44,9.272772293406097,6.560079635056542,92.2356699406968,73.433557753392,23.43579677905151,1300
45,8.371490268159068,6.1871521092429385,78.54552992074454,73.74936558904362,22.295409934032975,1206
46,7.829152599356296,5.904917049963888,76.90169058646795,77.75948987130253,23.235718031618916,1210
47,7.57376900634838,6.037602718251107,71.0117593051664,74.43583557042375,19.458364964607718,1192
48,8.507989447754543,6.886777862903901,69.37696256038647,72.11559066478443,21.447096898006187,5159
49,9.947481576145302,7.891779379182212,68.92051499047697,71.85534546277871,22.660450713057706,1113
50,9.446779517599284,7.45084769577375,84.07876828426076,75.0201086992457,29.973930171276724,1534
51,9.288177391060747,7.758453690725446,65.11223004354594,72.36676654455427,21.65918197172302,1786
53,10.283206477691747,7.990350399805278,77.35345052149536,74.85204281699073,24.4071033132648,1369
54,6.593231698004849,4.1509785416736635,76.3366168478261,79.2136379446134,25.623545044366203,1188
55,8.337131676772959,5.191227003521292,75.2348071222811,76.91748952507666,23.17804111130024,1348
56,7.244521009697294,6.134345434900049,86.57757130258044,82.4887723301431,23.30483157014657,1273
