group,dlog
stayer,1.19
stayer,13.61
stayer,6.67
stayer,-6.25
stayer,17.77
stayer,127.3
stayer,-229.94
stayer,7.8
stayer,-8.7
stayer,-64.19
stayer,-40.55
stayer,12.52
stayer,-49.63
stayer,9.84
stayer,3.03
stayer,6.9
stayer,-69.31
stayer,-6.06
stayer,4.88
stayer,10.54
stayer,7.33
stayer,13.35
stayer,7.12
stayer,11.78
stayer,-100.68
stayer,12.52
stayer,-340.12
stayer,-13.72
stayer,3.59
stayer,7.15
stayer,2.6
stayer,-5.56
stayer,-10.61
stayer,35.94
stayer,-16.13
stayer,2.61
stayer,27.76
stayer,7.7
stayer,13.05
stayer,-8.0
stayer,73.38
stayer,-19.42
stayer,12.78
stayer,53.9
stayer,-187.18
stayer,15.42
stayer,-3.69
stayer,4.45
stayer,-6.9
stayer,-65.82
stayer,6.9
stayer,7.23
stayer,-65.39
stayer,5.13
stayer,-1.36
stayer,-22.31
stayer,11.62
stayer,4.88
stayer,10.92
stayer,-10.27
stayer,6.71
stayer,28.77
stayer,2.53
stayer,4.08
stayer,0.0
stayer,6.45
stayer,7.91
stayer,4.73
stayer,-27.33
stayer,3.03
stayer,17.47
stayer,-22.31
stayer,9.53
stayer,-26.97
stayer,0.0
stayer,14.84
stayer,24.12
stayer,-64.93
stayer,-9.13
stayer,-15.08
stayer,40.55
stayer,-7.5
stayer,-48.24
stayer,-34.36
stayer,-4.65
stayer,-69.31
stayer,13.35
stayer,2.07
stayer,0.0
stayer,-7.6
stayer,-46.26
stayer,-159.6
stayer,7.8
stayer,4.73
stayer,-27.38
stayer,-55.96
stayer,0.5
stayer,1.4
stayer,-51.08
stayer,-43.83
stayer,-8.96
stayer,-11.78
stayer,9.91
stayer,39.3
stayer,47.8
stayer,-346.57
stayer,-1.29
stayer,26.24
stayer,-98.53
stayer,10.54
stayer,20.43
stayer,35.85
stayer,-184.82
stayer,31.02
stayer,22.31
stayer,-8.34
stayer,-26.57
stayer,0.0
stayer,20.59
stayer,-177.5
stayer,35.48
stayer,0.0
stayer,-8.7
stayer,117.41
stayer,-62.86
stayer,-37.04
stayer,57.33
stayer,-25.34
stayer,0.0
stayer,13.49
stayer,21.91
stayer,5.31
stayer,182.92
stayer,1.26
stayer,-3.51
stayer,10.54
stayer,-11.39
stayer,30.11
stayer,-27.03
stayer,-18.23
stayer,28.77
stayer,160.94
stayer,2.53
stayer,-5.83
stayer,8.49
stayer,409.43
stayer,-221.56
stayer,21.51
stayer,69.31
stayer,0.0
stayer,-259.53
stayer,-132.18
stayer,-6.6
stayer,-74.72
stayer,59.78
stayer,-0.01
stayer,-26.73
stayer,27.44
stayer,-81.09
stayer,4.03
stayer,0.0
stayer,99.52
stayer,11.0
stayer,-26.29
stayer,116.32
stayer,5.41
stayer,102.96
stayer,-98.08
stayer,-45.2
stayer,-67.37
stayer,-9.53
stayer,47.0
stayer,0.0
stayer,36.77
stayer,14.46
stayer,116.32
stayer,69.31
stayer,6.45
stayer,31.85
stayer,66.5
stayer,0.0
stayer,13.35
stayer,8.7
stayer,5.13
stayer,2.18
stayer,33.27
stayer,23.89
stayer,-17.44
stayer,4.08
stayer,7.7
stayer,0.0
stayer,0.0
stayer,10.54
stayer,2.02
stayer,32.85
stayer,147.33
stayer,22.31
stayer,-18.23
stayer,-20.76
stayer,14.31
stayer,-8.0
stayer,-2.35
stayer,-49.06
stayer,-3.39
stayer,13.14
stayer,-11.78
stayer,-5.94
stayer,333.22
stayer,109.86
stayer,0.0
stayer,13.35
stayer,13.06
stayer,8.96
stayer,17.19
stayer,0.0
stayer,-6.45
stayer,-40.55
stayer,53.49
stayer,18.23
stayer,-51.08
stayer,205.41
stayer,-27.09
stayer,16.91
stayer,-72.21
stayer,35.67
stayer,57.54
stayer,0.0
stayer,9.68
stayer,-59.16
stayer,-36.62
stayer,0.0
stayer,-20.07
stayer,-150.41
stayer,0.0
stayer,-34.48
stayer,0.0
stayer,98.45
stayer,67.29
stayer,18.54
stayer,-168.18
stayer,79.85
stayer,22.31
stayer,73.24
stayer,73.24
stayer,0.0
stayer,158.31
stayer,55.05
stayer,-16.71
stayer,0.0
stayer,-2.02
stayer,0.0
stayer,36.46
stayer,-2.35
stayer,113.5
stayer,0.0
stayer,0.0
stayer,7.15
stayer,-28.18
stayer,7.41
stayer,28.77
stayer,51.08
stayer,19.61
stayer,-15.85
stayer,-18.23
stayer,0.0
stayer,53.9
stayer,40.54
stayer,-43.83
stayer,-17.52
stayer,-37.95
stayer,-93.43
stayer,49.9
stayer,9.35
stayer,-1.08
stayer,138.63
stayer,260.8
stayer,-13.35
stayer,-16.25
stayer,136.1
stayer,-12.52
stayer,19.37
stayer,12.86
stayer,18.23
stayer,18.23
stayer,107.04
stayer,9.72
stayer,-17.44
stayer,194.59
stayer,129.93
stayer,82.45
stayer,82.45
stayer,-36.46
stayer,40.55
stayer,-69.31
stayer,-3.92
stayer,18.23
stayer,3.92
stayer,0.0
stayer,-80.65
stayer,28.77
stayer,10.54
stayer,10.54
stayer,5.61
stayer,0.0
stayer,-13.35
stayer,-2.25
stayer,11.33
stayer,-6.45
stayer,77.65
stayer,-4.08
stayer,4.35
stayer,23.48
stayer,0.0
stayer,-78.85
stayer,-6.9
stayer,-58.78
stayer,22.31
stayer,2.6
stayer,-17.44
stayer,-40.55
stayer,-142.71
stayer,8.22
stayer,-4.45
stayer,-96.14
stayer,0.0
stayer,0.0
stayer,-31.67
stayer,0.0
stayer,-17.69
stayer,8.84
stayer,-25.13
stayer,-136.43
stayer,-20.96
stayer,11.0
stayer,-2.23
stayer,6.73
stayer,-40.55
stayer,-2.74
stayer,0.0
stayer,1.31
stayer,41.55
stayer,-5.56
stayer,4.22
stayer,-11.78
stayer,22.31
stayer,10.54
stayer,47.96
stayer,0.0
stayer,56.26
stayer,-40.55
stayer,7.86
stayer,-3.77
stayer,24.12
stayer,0.0
stayer,-20.07
stayer,6.9
stayer,8.52
stayer,-19.0
stayer,23.36
stayer,-40.55
stayer,13.35
stayer,3.64
stayer,8.7
stayer,11.33
stayer,40.55
stayer,-4.88
stayer,-39.26
stayer,2.02
stayer,94.45
stayer,8.96
stayer,34.09
stayer,7.41
stayer,-30.37
stayer,-20.59
stayer,-77.01
stayer,8.41
stayer,9.31
stayer,0.0
stayer,-3.12
stayer,-36.08
stayer,114.21
stayer,-13.01
stayer,8.0
stayer,4.0
stayer,37.27
stayer,0.0
stayer,3.39
stayer,6.9
stayer,-3.92
stayer,12.78
stayer,27.54
stayer,-12.41
stayer,0.0
stayer,7.06
stayer,276.17
stayer,-17.44
stayer,6.06
stayer,-2.2
stayer,51.08
stayer,-1.94
stayer,69.31
stayer,-26.97
stayer,0.0
stayer,-18.23
stayer,-34.17
stayer,17.44
stayer,-17.18
stayer,4.22
stayer,-3.85
stayer,4.88
stayer,-28.77
stayer,0.0
stayer,193.49
stayer,-40.55
stayer,-47.45
stayer,81.09
stayer,9.53
stayer,0.0
stayer,0.0
stayer,-29.55
stayer,0.0
stayer,12.52
stayer,28.77
stayer,-5.13
stayer,-191.62
stayer,-59.78
stayer,28.1
stayer,94.84
stayer,144.95
stayer,-18.23
stayer,9.53
stayer,-40.55
stayer,0.0
stayer,-51.08
stayer,0.0
stayer,-5.13
stayer,-5.01
stayer,3.98
stayer,9.97
stayer,2.36
stayer,-21.36
stayer,17.59
stayer,-6.06
stayer,130.41
stayer,-8.7
stayer,-9.01
stayer,112.06
stayer,-0.01
stayer,0.0
stayer,0.0
stayer,-69.31
stayer,25.13
stayer,125.28
stayer,4.65
stayer,-0.48
stayer,10.54
stayer,23.36
stayer,7.64
stayer,156.56
stayer,0.0
stayer,8.22
stayer,13.35
stayer,-207.94
stayer,79.66
stayer,27.4
stayer,-30.01
stayer,-27.76
stayer,33.65
stayer,15.86
stayer,-7.08
stayer,-69.31
stayer,-38.57
stayer,-37.47
stayer,0.0
stayer,-0.0
stayer,59.09
stayer,4.08
stayer,0.0
stayer,2.2
stayer,13.35
stayer,-10.54
stayer,-36.73
stayer,0.0
stayer,-2.99
stayer,-3.92
stayer,3.77
stayer,7.28
stayer,10.54
stayer,-4.26
stayer,0.0
stayer,0.0
stayer,-45.2
stayer,-42.29
stayer,-438.2
stayer,29.48
stayer,13.35
stayer,0.0
stayer,14.15
stayer,-53.9
stayer,133.5
stayer,-109.86
stayer,9.24
stayer,8.7
stayer,-6.45
stayer,6.24
stayer,52.13
stayer,-7.75
stayer,-51.08
stayer,62.42
stayer,145.34
stayer,115.27
stayer,6.9
stayer,-116.32
stayer,36.77
stayer,0.0
stayer,23.15
stayer,14.9
stayer,-7.7
stayer,-47.0
stayer,-42.29
stayer,28.77
stayer,53.9
stayer,-8.34
stayer,14.46
stayer,230.26
stayer,15.08
stayer,-1.6
stayer,0.0
stayer,-133.68
stayer,-29.42
stayer,42.23
stayer,4.32
stayer,2.9
stayer,73.4
stayer,7.41
stayer,6.06
stayer,5.39
stayer,91.63
stayer,-36.59
stayer,-1.34
stayer,20.76
stayer,10.54
stayer,-30.48
stayer,4.08
stayer,28.77
stayer,-39.39
stayer,-9.53
stayer,89.38
stayer,0.0
stayer,0.62
stayer,0.0
stayer,1.83
stayer,-5.97
stayer,4.88
stayer,48.73
stayer,-8.34
stayer,53.06
stayer,9.1
stayer,8.34
stayer,3.39
stayer,-16.3
stayer,16.25
stayer,0.0
stayer,-75.38
stayer,0.0
stayer,1.48
stayer,13.35
stayer,-22.88
stayer,-43.83
stayer,28.77
stayer,-2.35
stayer,0.0
stayer,28.77
stayer,-1.44
stayer,-69.31
stayer,-62.17
stayer,6.9
stayer,22.31
stayer,8.63
stayer,-8.7
stayer,0.0
stayer,-8.57
stayer,108.62
stayer,-15.42
stayer,-28.77
stayer,9.53
stayer,13.67
stayer,0.0
stayer,3.68
stayer,89.38
stayer,18.23
stayer,-83.77
stayer,9.84
stayer,81.09
stayer,-5.56
stayer,7.41
stayer,14.17
stayer,0.0
stayer,24.85
stayer,-20.97
stayer,0.0
stayer,-1.2
stayer,15.42
stayer,28.0
stayer,3.39
stayer,57.54
stayer,44.47
stayer,88.12
stayer,-86.5
stayer,7.06
stayer,0.0
stayer,96.76
stayer,-22.31
stayer,-31.02
stayer,-31.85
stayer,35.5
stayer,0.0
stayer,-10.05
stayer,-35.09
stayer,58.47
stayer,-140.88
stayer,-42.74
stayer,-2.41
stayer,-15.42
stayer,-26.83
stayer,32.28
stayer,-6.45
stayer,41.55
stayer,0.0
stayer,-11.98
stayer,8.7
stayer,76.21
stayer,80.54
stayer,-30.15
stayer,6.9
stayer,1.94
stayer,0.0
stayer,-5.96
stayer,-15.7
stayer,-7.8
stayer,245.67
stayer,0.0
stayer,0.0
stayer,-15.42
stayer,55.0
stayer,22.31
stayer,12.52
stayer,2.53
stayer,0.0
stayer,7.15
stayer,96.94
stayer,26.24
stayer,22.31
stayer,35.67
stayer,-44.05
stayer,-87.55
stayer,8.7
stayer,0.0
stayer,10.54
stayer,6.09
stayer,-4.51
stayer,-185.36
stayer,20.07
stayer,98.08
stayer,0.0
stayer,69.31
stayer,-9.53
stayer,-36.3
stayer,3.59
stayer,-17.82
stayer,-40.55
stayer,37.24
stayer,32.54
stayer,0.0
stayer,0.0
stayer,102.59
stayer,-14.52
stayer,3.68
stayer,-51.99
stayer,120.4
stayer,-335.24
stayer,-48.55
stayer,114.51
stayer,-40.55
stayer,2.35
stayer,-5.72
stayer,-18.23
stayer,-18.23
stayer,2.02
stayer,43.83
stayer,-40.55
stayer,-207.94
stayer,25.13
stayer,-47.0
stayer,8.9
stayer,35.22
stayer,105.3
stayer,18.23
stayer,3.7
stayer,11.39
stayer,0.0
stayer,-8.52
stayer,0.0
stayer,47.45
stayer,22.31
stayer,41.55
stayer,22.31
stayer,-58.78
stayer,31.59
stayer,21.48
stayer,10.54
stayer,8.96
stayer,-4.48
stayer,110.49
stayer,-8.83
stayer,-18.23
stayer,-27.76
stayer,22.01
stayer,6.9
stayer,-9.1
stayer,-26.03
stayer,-11.51
stayer,16.13
stayer,0.0
stayer,12.41
stayer,64.66
stayer,17.19
stayer,-11.51
stayer,2.78
stayer,0.0
stayer,0.0
stayer,-36.78
stayer,8.96
stayer,-91.63
stayer,104.98
stayer,-27.51
stayer,10.92
stayer,-1.77
stayer,-102.45
stayer,20.48
stayer,-0.37
stayer,-35.67
stayer,25.78
stayer,-26.24
stayer,0.0
stayer,8.1
stayer,24.0
stayer,-53.71
stayer,30.54
stayer,-9.53
stayer,133.4
stayer,40.55
stayer,-1.68
stayer,0.58
stayer,-40.55
stayer,0.0
stayer,-1.0
stayer,3.44
stayer,4.45
stayer,14.11
stayer,-87.47
stayer,-24.9
stayer,40.55
stayer,10.7
stayer,0.0
stayer,39.83
stayer,9.59
stayer,-0.75
stayer,3.04
stayer,4.99
stayer,22.31
stayer,55.96
stayer,-8.0
stayer,26.24
stayer,-11.78
stayer,6.45
stayer,18.61
stayer,51.08
stayer,66.85
stayer,47.0
stayer,115.27
stayer,39.3
stayer,-6.54
stayer,2.53
stayer,-11.05
stayer,14.66
stayer,10.54
stayer,55.96
stayer,-55.96
stayer,-13.35
stayer,22.65
stayer,-12.1
stayer,0.0
stayer,-4.51
stayer,0.0
stayer,-47.0
stayer,-170.79
stayer,48.48
stayer,-14.31
stayer,-15.42
stayer,-15.42
stayer,-79.5
stayer,11.62
stayer,-25.7
stayer,-183.26
stayer,77.32
stayer,350.66
stayer,3.46
stayer,0.66
stayer,-31.85
stayer,6.9
stayer,-299.57
stayer,-8.0
stayer,45.2
stayer,57.54
stayer,-44.37
stayer,102.17
stayer,4.08
stayer,69.31
stayer,-205.96
stayer,-45.68
stayer,-284.3
stayer,-58.78
stayer,-2.77
stayer,92.95
stayer,-62.86
stayer,-18.13
stayer,6.58
stayer,0.0
stayer,1.26
stayer,1.38
stayer,-220.73
stayer,15.08
stayer,-69.31
stayer,-9.53
stayer,6.9
stayer,72.59
stayer,0.0
stayer,-205.84
stayer,6.99
stayer,6.45
stayer,0.22
stayer,-160.94
stayer,8.27
stayer,-0.2
stayer,7.6
stayer,-5.41
stayer,6.77
stayer,-37.65
stayer,-38.4
stayer,26.24
stayer,79.85
stayer,-5.13
stayer,47.0
stayer,-22.31
stayer,-198.79
stayer,-40.9
stayer,1.04
stayer,50.64
stayer,-8.34
stayer,64.48
stayer,-6.45
stayer,8.22
stayer,9.27
stayer,-8.22
stayer,45.37
stayer,-6.9
stayer,3.92
stayer,-47.0
stayer,0.0
stayer,29.76
stayer,42.67
stayer,62.86
stayer,-22.31
stayer,3.73
stayer,-51.08
stayer,-97.69
stayer,36.77
stayer,18.23
stayer,5.66
stayer,138.63
stayer,-6.67
stayer,12.22
stayer,5.31
stayer,-47.0
stayer,5.41
stayer,-30.45
stayer,0.0
stayer,57.86
stayer,-12.78
stayer,3.92
stayer,270.81
stayer,6.9
stayer,-3.92
stayer,-28.26
stayer,18.23
stayer,-0.57
stayer,6.9
stayer,1.77
stayer,-66.65
stayer,8.46
stayer,0.0
stayer,34.83
