PERIDNUM,MARZO,leaver,OCCUP,PEIOOCC,leaver_MARCH
0071802105190091701101,0,,,,
0077291602421991601101,0,,,,
0080201037704201801103,0,,,,
0080811012945101601103,0,,,,
0081003708569671611102,0,,,,
0081003807786041611102,0,1.0,,,
0081100332498031511101,1,0.0,2310.0,2320.0,0.0
0081103558606011601101,0,,,,
0081403343527111701101,1,,2320.0,2320.0,0.0
0081502427553581701102,1,,2320.0,2320.0,0.0
0081602803915391701101,0,,,,
0081660605111561701101,0,,,,
0081804467484381601102,0,,,,
0091100226484831701101,0,,,,
0091204964352241601101,0,0.0,,,
0091403724596911701101,0,,2320.0,2320.0,
0091403724596911701102,0,,2320.0,2320.0,
0091502576947231501102,1,0.0,2310.0,2310.0,0.0
0091502584213761611101,0,0.0,,,
0091702006117411601101,0,0.0,,,
0091802230498051701102,1,,2310.0,2310.0,0.0
0092221905201721711103,0,,,,
0096950801401671501101,1,,110.0,110.0,-1.0
0100960319166461601102,0,,,,
0101010024193531601102,0,0.0,,,
0103091700501231501102,1,0.0,2310.0,2310.0,0.0
0106000319146461701101,0,,,,
0109510902311081811107,0,,,,
0109560902401521601102,0,1.0,2545.0,2545.0,
0109570902401201701102,0,,,,
0110004063476431701102,1,,2320.0,2320.0,0.0
0110330616137701601101,0,,,,
0110330616137701601102,0,,,,
0110620024103531711102,1,,2320.0,2320.0,0.0
0112005109673351701101,0,,,,
0113008793827131701101,0,,,,
0120310940180161711102,1,,2310.0,2310.0,0.0
0120330484175011601101,0,0.0,2310.0,2310.0,
0120330782125791711102,1,,2320.0,2320.0,0.0
0120434209201621601101,0,,,,
0120520319106461711102,0,,,,
0120610648122771711101,1,,2330.0,2330.0,0.0
0123001141154301701102,1,,2320.0,2320.0,0.0
0125091127387001801102,0,,,,
0127050124956001711102,1,,2310.0,2310.0,0.0
0130580940110161701101,0,,,,
0130870057196921701102,1,,2300.0,2300.0,0.0
0131130299125681611102,0,0.0,,,
0131200168165351601101,0,,,,
0131200168165351601102,0,,,,
0133610672154401711101,0,,,,
0136770299125681601101,0,,,,
0137174502141201701102,0,,,,
0138849508301191601101,0,0.0,,,
0140890011156021601101,0,0.0,,,
0141031103031561701101,0,,2330.0,2330.0,
0141031103031561701102,0,,2330.0,2330.0,
0142030398182671701104,0,,2300.0,2300.0,
0144011143775701501101,1,,,,
0144595702401321501102,1,0.0,2310.0,2310.0,0.0
0146770169184821701102,1,,0.0,2310.0,-1.0
0147035302001691701102,1,,2320.0,2320.0,0.0
0147075302111361501102,1,,,,
0147085302011091601101,0,0.0,,,
0147085302011091601102,0,0.0,,,
0150110558114761601102,0,,,,
0150670871145041611102,0,1.0,,,
0151310168115351501103,1,,,,
0151530168115351601101,0,,,,
0151960168115351701102,0,,,,
0153913108501561501102,1,1.0,0.0,-1.0,-1.0
0153993108001281701101,1,,2310.0,2310.0,0.0
0154197406101171501101,1,0.0,2310.0,2310.0,0.0
0154197406101171501102,1,0.0,2330.0,2330.0,0.0
0155847903001161701102,1,,2310.0,2310.0,0.0
0159144109101131601103,0,,,,
0160093100001291701102,1,,2310.0,2310.0,0.0
0167216920100101601101,0,,,,
0180275106301291701102,0,,,,
0180275106311151701101,0,,2310.0,2310.0,
0180601092715101701105,0,,0.0,2310.0,
0181474702501751701102,0,,,,
0182490001301361701102,1,,2330.0,2330.0,0.0
0186077509341251801102,0,,,,
0186087509151911611102,0,,,,
0200180932166461801102,0,,,,
0200682257164631501102,1,,2310.0,2310.0,0.0
0202310343169591601102,0,0.0,,,
0203006006001641701102,1,,2300.0,2300.0,0.0
0210180288171961701101,0,,,,
0210750631165911501102,1,0.0,2310.0,2310.0,0.0
0211538003301401711102,1,,2310.0,2310.0,0.0
0213001056679041501101,1,0.0,2310.0,-1.0,1.0
0214420910658971701101,0,,,,
0216048409011161701102,1,,2310.0,2310.0,0.0
0219006145508051501102,1,0.0,2310.0,2310.0,0.0
0220590867158611701102,1,,2310.0,2310.0,0.0
0220680755193851801102,0,,,,
0223739908431091601101,0,0.0,,,
0226854109401571711101,0,,,,
0228724201411291501101,1,0.0,2310.0,2310.0,0.0
0229146500401871701103,0,,,,
0230680932140451601101,0,,,,
0231206005201401611102,0,,,,
0231510385104251611102,0,1.0,,,
0231810961195791501101,1,0.0,2310.0,2310.0,0.0
0232320725155451611101,0,0.0,2310.0,2310.0,
0237050132193801601102,0,0.0,,,
0240120385154251711101,0,,,,
0240380719199171501102,1,0.0,2310.0,2310.0,0.0
0240670294164411501102,1,0.0,2320.0,2320.0,0.0
0240750125100431811101,0,,,,
0240820779129721501101,1,0.0,2310.0,2310.0,0.0
0240940414181171501102,1,0.0,2300.0,2300.0,0.0
0240940590108641511102,1,0.0,2300.0,2300.0,0.0
0240960650195121501102,1,0.0,2310.0,2310.0,0.0
0241090108913301501102,1,0.0,2310.0,2310.0,0.0
0241320310123911601101,0,0.0,2310.0,2320.0,
0241400738105861701101,0,,,,
0243672609201391801101,0,,,,
0243672609201391801102,0,,,,
0244315004101651511102,1,0.0,2310.0,2310.0,0.0
0249627650800121501102,1,0.0,2310.0,2310.0,0.0
0249995705201851501101,1,0.0,2330.0,2330.0,0.0
0253392801501111701101,0,,2310.0,2310.0,
0256976203011821601102,0,,,,
0256992408211861701102,0,,,,
0257090114902701601101,0,0.0,,,
0257090114902701601102,0,0.0,,,
0257274500201381601102,0,0.0,,,
0259044602401101701101,1,,2320.0,2320.0,0.0
0259044602401101701102,1,,2310.0,2310.0,0.0
0270029008201271701102,1,,2310.0,2310.0,0.0
0271600084017281601101,0,0.0,,,
0271600084017281601102,0,0.0,,,
0272064701511501611101,0,0.0,,,
0276278906001211711101,1,,2310.0,2310.0,0.0
0280311087704271701102,0,,,,
0286835609501601611101,0,0.0,,,
0286875609401891701102,0,,,,
0288973040000191701102,0,,,,
0299921604301111501102,1,0.0,2310.0,2310.0,0.0
0300070627167351701102,1,,2300.0,2300.0,0.0
0304101430510611601102,0,0.0,,,
0305425706101761711101,0,,,,
0305475706101361711101,1,,2310.0,2310.0,0.0
0306701605121701701102,0,,,,
0307880111024921701101,1,,2310.0,2310.0,0.0
0309270212026711501102,1,0.0,2310.0,2310.0,0.0
0310450831121591801102,0,,,,
0310580053123341601102,0,,,,
0310620080175131501102,1,0.0,2310.0,2310.0,0.0
0310670646179551701101,0,,,,
0311530535124341601102,0,0.0,,,
0314129309501711501102,1,0.0,2310.0,2310.0,0.0
0315139504301431711102,0,,,,
0315169504201091701102,0,,2310.0,2310.0,
0315490744177321601101,0,1.0,,,
0315725403201751701101,1,,2310.0,2310.0,0.0
0315725403201751701102,1,,2320.0,2320.0,0.0
0316841402001291501101,1,0.0,2300.0,2300.0,0.0
0319004045638271611101,0,,2310.0,2300.0,
0320330698164111501102,1,0.0,2310.0,2310.0,0.0
0320440280185911701102,0,,,,
0320620797181451501101,1,0.0,2310.0,2310.0,0.0
0320760627127831511101,1,,,,
0320810262109351701101,1,,2330.0,2330.0,0.0
0321820196133371601101,0,0.0,,,
0328609900201491701102,1,,2330.0,2330.0,0.0
0330370037154011701101,1,,2310.0,2310.0,0.0
0330450260133531701103,1,,2310.0,2310.0,0.0
0330760370101641501101,1,,3421.0,3421.0,-1.0
0331030196123371701102,1,,2310.0,2310.0,0.0
0331030196123371701103,1,,2310.0,2310.0,0.0
0331400641191841601101,0,0.0,,,
0332400535154341701102,0,,,,
0334050179335401811101,0,,,,
0336026509311131501102,1,0.0,4600.0,4600.0,-1.0
0336026509311131501103,1,0.0,2300.0,2300.0,0.0
0338093409001311501101,1,,,,
0340440627117831701101,1,,2310.0,2310.0,0.0
0341020708189311501101,1,0.0,2310.0,2310.0,0.0
0342070184334701611102,0,,,,
0343240053144271701101,0,,,,
0349021080185131701101,0,,,,
0349745807201101701101,1,,2310.0,2310.0,0.0
0351130370161641711102,0,,,,
0352310173130441501102,1,0.0,2310.0,2310.0,0.0
0357186204501461701101,1,,2310.0,2310.0,0.0
0359040168166501601102,0,0.0,,,
0362080184741101601102,0,0.0,,,
0364726020800171601102,0,0.0,,,
0364728000800171501102,1,0.0,2310.0,2310.0,0.0
0370164808231661701101,0,,,,
0376253120301171701101,0,,,,
0380091177325401601101,0,0.0,,,
0382426400201261701101,1,,2300.0,2300.0,0.0
0382486400311511701101,0,,,,
0385834604151771601104,0,,,,
0387091141244701701103,0,,,,
0392893103201841501101,1,,2330.0,2330.0,0.0
0395530105201501701101,1,,2310.0,2310.0,0.0
0399336702401071711101,1,,2310.0,2310.0,0.0
0400120604152461711104,1,,2300.0,2310.0,0.0
0400401031653841701101,1,,2300.0,2300.0,0.0
0400470114001961611102,0,0.0,,,
0401020504169411601101,0,1.0,,,
0401804230513511701101,0,,,,
0402241530214001711101,1,,2310.0,2310.0,0.0
0402510630911901601101,0,0.0,,,
0402750730166871701101,0,,,,
0403190413116481601102,0,0.0,,,
0403606201101481801101,0,,,,
0403646800311811701101,0,,,,
0404154306501441501102,1,0.0,2310.0,2310.0,0.0
0404194306201271701102,0,,,,
0408191146161481601101,0,1.0,,,
0409725220217601601101,0,1.0,,,
0410070570167541711102,0,,,,
0411250508132091601108,0,,,,
0411310122167701601102,0,0.0,,,
0412943108201221701101,1,,2310.0,2310.0,0.0
0413900570117541701101,1,,2310.0,2310.0,0.0
0414758050000181601101,0,0.0,,,
0420090648100031501101,1,,2310.0,2310.0,0.0
0420400485177361701102,1,,2300.0,2300.0,0.0
0423695601201751501101,1,1.0,2555.0,2555.0,-1.0
0424090146006301601102,0,0.0,,,
0430620952199951701102,0,,,,
0430670570177541701101,0,,,,
0430900485197361701101,1,,2310.0,2310.0,0.0
0431190182192271701101,0,,2310.0,2310.0,
0432337909201411501101,1,0.0,2310.0,2310.0,0.0
0440380640154641711102,0,,2310.0,2310.0,
0444010991181511501101,1,,,,
0445743908401981701102,1,,2310.0,2310.0,0.0
0448000166416901711102,0,,,,
0448958106411081801102,0,,,,
0449142402001261701101,1,,2310.0,2310.0,0.0
0449182402201021701101,1,,2310.0,2310.0,0.0
0452341300301191701101,1,,2320.0,2320.0,0.0
0453010139089901701101,1,,2320.0,2320.0,0.0
0456853000101621701102,1,,2300.0,2300.0,0.0
0464598107101131701101,1,,2320.0,2320.0,0.0
0464598107101131701102,1,,2330.0,2330.0,0.0
0466360603201591601102,0,0.0,,,
0486070708211141701102,0,,,,
0486268340001141601101,0,,,,
0497195105211261501102,1,,,,
0499060184414101601101,0,0.0,,,
0500011019852291701101,1,,2310.0,2310.0,0.0
0500670948169591701102,1,,2320.0,2320.0,0.0
0502250952161331701104,0,,,,
0502460704169711801101,0,,,,
0505102205501431501101,1,0.0,2310.0,2310.0,0.0
0506614230513221701101,0,,2310.0,2310.0,
0509560613141441701102,1,,2310.0,2310.0,0.0
0511030271103401601103,0,0.0,,,
0511250442150431601101,0,0.0,,,
0511467408421491601101,0,,,,
0515423006411781601101,0,0.0,,,
0519002163622501701102,0,,2320.0,2320.0,
0520630116189321511101,1,,,,
0521120605155551701101,0,,,,
0524354708501431701102,1,,2310.0,2310.0,0.0
0528023409411181701102,1,,2310.0,2330.0,0.0
0528093409311901711101,0,,,,
0530530467172041701101,1,,2310.0,2310.0,0.0
0530870653177041701101,0,,,,
0530960357137991501102,1,0.0,2310.0,2310.0,0.0
0530960695143571601101,0,0.0,,,
0532820271153401701101,1,,2320.0,2320.0,0.0
0532820271153401701102,1,,2320.0,2320.0,0.0
0533320396186881701101,0,,,,
0533483405201441701102,1,,2300.0,2300.0,0.0
0533493405301701811102,0,,,,
