code,label,n_asec_PEIOOCC,n_monthly_2005_07
8130,Tool and die makers,199.0,1453.0
8140,"Welding, soldering, and brazing workers",3196.0,9925.0
8150,(sin etiqueta limpia — código SOC 51-4191),,166.0
8160,(sin etiqueta limpia — código SOC 51-4192),,120.0
8200,(sin etiqueta limpia — código SOC 51-4193),43.0,422.0
8210,(sin etiqueta limpia — código SOC 51-4194),11.0,179.0
8220,(sin etiqueta limpia — código SOC 51-4199),923.0,7192.0
8225,Other metal workers and plastic workers,963.0,
8230,,,719.0
8240,,,822.0
8250,Prepress technicians and workers,78.0,846.0
8255,Printing press operators,733.0,
8256,Print binding and finishing workers,61.0,
8260,,,3511.0
8300,Laundry and dry-cleaning workers,830.0,3598.0
8310,"Pressers, textile, garment, and related materials",150.0,1000.0
8320,Sewing machine operators,887.0,4350.0
8330,(sin etiqueta limpia — código SOC 51-6041),31.0,226.0
8335,Shoe and leather workers,40.0,
8340,(sin etiqueta limpia — código SOC 51-6042),,155.0
8350,"Tailors, dressmakers, and sewers",388.0,1581.0
8360,(sin etiqueta limpia — código SOC 51-6061),,108.0
8365,"Textile machine setters, operators, and tenders",62.0,
8400,(sin etiqueta limpia — código SOC 51-6062),16.0,159.0
8410,(sin etiqueta limpia — código SOC 51-6063),25.0,278.0
8420,(sin etiqueta limpia — código SOC 51-6064),20.0,354.0
8430,(sin etiqueta limpia — código SOC 51-6091),,45.0
8440,(sin etiqueta limpia — código SOC 51-6092),,65.0
8450,Upholsterers,141.0,820.0
8460,(sin etiqueta limpia — código SOC 51-6099),58.0,448.0
8465,"Other textile, apparel, and furnishings workers",38.0,
8500,Cabinetmakers and bench carpenters,316.0,1566.0
8510,Furniture finishers,75.0,499.0
8520,(sin etiqueta limpia — código SOC 51-7030),,4.0
8530,"Sawing machine setters, operators, and tenders, wood",160.0,995.0
8540,"Woodworking machine setters, operators, and tenders, except sawing",91.0,741.0
8550,(sin etiqueta limpia — código SOC 51-7099),75.0,647.0
8555,Other woodworkers,79.0,
8600,"Power plant operators, distributors, and dispatchers",252.0,873.0
8610,Stationary engineers and boiler operators,385.0,1758.0
8620,Water and wastewater treatment plant and system operators,549.0,1387.0
8630,Miscellaneous plant and system operators,268.0,765.0
8640,"Chemical processing machine setters, operators, and tenders",329.0,882.0
8650,"Crushing, grinding, polishing, mixing, and blending workers",445.0,1757.0
8710,Cutting workers,309.0,1515.0
8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",119.0,647.0
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders",75.0,305.0
8740,"Inspectors, testers, sorters, samplers, and weighers",3948.0,11878.0
8750,Jewelers and precious stone and metal workers,278.0,1024.0
8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,378.0,1653.0
8800,Packaging and filling machine operators and tenders,1610.0,5028.0
8810,Painting workers,813.0,3150.0
8830,Photographic process workers and processing machine operators,124.0,1085.0
8840,(sin etiqueta limpia — código SOC 51-9141),,61.0
8850,Adhesive bonding machine operators and tenders,53.0,328.0
8860,(sin etiqueta limpia — código SOC 51-9192),8.0,189.0
8900,(sin etiqueta limpia — código SOC 51-9193),,68.0
8910,Etchers and engravers,43.0,192.0
8920,"Molders, shapers, and casters, except metal and plastic",178.0,751.0
8930,"Paper goods machine setters, operators, and tenders",93.0,885.0
8940,Tire builders,30.0,306.0
8950,Helpers--production workers,302.0,849.0
8960,,,16221.0
8965,(sin etiqueta limpia — código SOC 51-9199),2487.0,
8990,Other production workers,3487.0,
9000,(sin etiqueta limpia — código SOC 53-1000),423.0,3524.0
9005,Supervisors of transportation and material moving workers,853.0,
9030,Aircraft pilots and flight engineers,813.0,2166.0
9040,Air traffic controllers and airfield operations specialists,158.0,615.0
9050,Flight attendants,475.0,
9110,"Ambulance drivers and attendants, except emergency medical technicians",62.0,208.0
9120,(sin etiqueta limpia — código SOC 53-3020),1353.0,9874.0
9121,"Bus drivers, school",792.0,
9122,"Bus drivers, transit and intercity",712.0,
9130,Driver/sales workers and truck drivers,17996.0,57944.0
9140,(sin etiqueta limpia — código SOC 53-3041),1443.0,4637.0
9141,Shuttle drivers and chauffeurs,243.0,
9142,Taxi drivers,1149.0,
9150,"Motor vehicle operators, all other",659.0,1158.0
9200,(sin etiqueta limpia — código SOC 53-4010),133.0,969.0
9210,Locomotive engineers and operators,166.0,
9230,(sin etiqueta limpia — código SOC 53-4021),,181.0
9240,Railroad conductors and yardmasters,305.0,921.0
9260,(sin etiqueta limpia — código SOC 53-40XX),23.0,235.0
9265,Other rail transportation workers,40.0,
9300,Sailors and marine oilers,142.0,401.0
9310,Ship and boat captains and operators,201.0,738.0
9330,Ship engineers,,77.0
9340,(sin etiqueta limpia — código SOC 53-6011),,86.0
9350,Parking attendants,361.0,1213.0
9360,(sin etiqueta limpia — código SOC 53-6031),201.0,1775.0
9365,Transportation service attendants,240.0,
9410,Transportation inspectors,195.0,698.0
9415,Passenger attendants,181.0,
9420,(sin etiqueta limpia — código SOC 53-60XX),86.0,307.0
9430,Other transportation workers,107.0,
9500,(sin etiqueta limpia — código SOC 53-7011),,111.0
9510,Crane and tower operators,329.0,1027.0
9520,(sin etiqueta limpia — código SOC 53-7030),97.0,1450.0
9560,(sin etiqueta limpia — código SOC 53-7041),40.0,120.0
9570,"Conveyor, dredge, and hoist and winch operators",100.0,
9600,Industrial truck and tractor operators,2906.0,8470.0
9610,Cleaners of vehicles and equipment,1926.0,5959.0
9620,"Laborers and freight, stock, and material movers, hand",10989.0,32677.0
9630,Machine feeders and offbearers,137.0,752.0
9640,"Packers and packagers, hand",3448.0,7382.0
9645,Stockers and order fillers,4825.0,
9650,Pumping station operators,122.0,526.0
9720,Refuse and recyclable material collectors,552.0,1398.0
9730,(sin etiqueta limpia — código SOC 53-7111),,62.0
9740,(sin etiqueta limpia — código SOC 53-7121),,103.0
9750,(sin etiqueta limpia — código SOC 53-7199),118.0,901.0
9760,Other material moving workers,182.0,
9840,,101.0,452.0
