code,label,n_asec_PEIOOCC,n_monthly_2005_07
1965,(sin etiqueta limpia — código SOC 19-4090),362.0,
1970,"Other life, physical, and social science technicians",826.0,
1980,Occupational health and safety specialists and technicians,218.0,
2000,(sin etiqueta limpia — código SOC 21-1010),2079.0,11406.0
2001,Substance abuse and behavioral disorder counselors,376.0,
2002,"Educational, guidance, and career counselors and advisors",1007.0,
2003,Marriage and family therapists,108.0,
2004,Mental health counselors,514.0,
2005,Rehabilitation counselors,56.0,
2006,"Counselors, all other",722.0,
2010,(sin etiqueta limpia — código SOC 21-1020),1962.0,12075.0
2011,"Child, family, and school social workers",175.0,
2012,Healthcare social workers,223.0,
2013,Mental health and substance abuse social workers,64.0,
2014,"Social workers, all other",1854.0,
2015,Probation officers and correctional treatment specialists,451.0,
2016,Social and human service assistants,1287.0,
2020,,,5350.0
2025,Other community and social service specialists,505.0,
2040,Clergy,2102.0,7133.0
2050,"Directors, religious activities and education",357.0,866.0
2060,"Religious workers, all other",373.0,1566.0
2100,Lawyers,6280.0,17882.0
2105,Judicial law clerks,106.0,
2140,,,5924.0
2145,Paralegals and legal assistants,2027.0,
2150,,,4331.0
2160,(sin etiqueta limpia — código SOC 23-2090),412.0,
2170,"Title examiners, abstractors, and searchers",289.0,
2180,"Legal support workers, all other",240.0,
2200,Postsecondary teachers [esquema 2010],3319.0,21762.0
2205,Postsecondary teachers,3219.0,
2300,Preschool and kindergarten teachers,3677.0,11375.0
2310,Elementary and middle school teachers,18356.0,46661.0
2320,Secondary school teachers,5297.0,19532.0
2330,Special education teachers,1926.0,7040.0
2340,Other teachers and instructors [2010],2265.0,12506.0
2350,Tutors,522.0,
2360,Other teachers and instructors,2417.0,
2400,"Archivists, curators, and museum technicians",357.0,868.0
2430,Librarians [2010],450.0,3971.0
2435,Librarians and media collections specialists,511.0,
2440,Library technicians,178.0,793.0
2540,Teacher assistants [2010],2579.0,17374.0
2545,Teaching assistants,4164.0,
2550,"Other education, training, and library workers [2010]",403.0,1507.0
2555,Other educational instruction and library workers,559.0,
2600,Artists and related workers,1332.0,4085.0
2630,(sin etiqueta limpia — código SOC 27-1020),1921.0,13551.0
2631,Commercial and industrial designers,39.0,
2632,Fashion designers,76.0,
2633,Floral designers,185.0,
2634,Graphic designers,750.0,
2635,Interior designers,279.0,
2636,Merchandise displayers and window trimmers,72.0,
2640,Other designers,970.0,
2700,Actors,241.0,618.0
2710,Producers and directors,826.0,2162.0
2720,(sin etiqueta limpia — código SOC 27-2020),822.0,4810.0
2721,Athletes and sports competitors,85.0,
2722,Coaches and scouts,868.0,
2723,"Umpires, referees, and other sports officials",110.0,
2740,Dancers and choreographers,63.0,491.0
2750,(sin etiqueta limpia — código SOC 27-2040),386.0,3094.0
2751,Music directors and composers,115.0,
2752,Musicians and singers,379.0,
2755,"Disc jockeys, except radio",61.0,
2760,(sin etiqueta limpia — código SOC 27-2099),105.0,576.0
2770,"Entertainers and performers, sports and related workers, all other",123.0,
2800,(sin etiqueta limpia — código SOC 27-3010),111.0,981.0
2805,Broadcast announcers and radio disc jockeys,72.0,
2810,"News analysts, reporters, and journalists",479.0,1595.0
2820,,,2717.0
2825,Public relations specialists,705.0,
2830,Editors,634.0,2759.0
2840,Technical writers,303.0,987.0
2850,Writers and authors,1159.0,3450.0
2860,(sin etiqueta limpia — código SOC 27-3090),268.0,1128.0
2861,Interpreters and translators,274.0,
2862,Court reporters and simultaneous captioners,67.0,
2865,"Media and communication workers, all other",60.0,
2900,(sin etiqueta limpia — código SOC 27-4010),244.0,1469.0
2905,"Broadcast, sound, and lighting technicians",254.0,
2910,Photographers,1039.0,2674.0
2920,"Television, video, and film camera operators and editors",443.0,595.0
3000,Chiropractors,284.0,1223.0
3010,Dentists,838.0,2838.0
3030,Dietitians and nutritionists,578.0,1515.0
3040,Optometrists,239.0,554.0
3050,Pharmacists,1731.0,4079.0
3060,(sin etiqueta limpia — código SOC 29-1060),2409.0,13688.0
3090,Other physicians,2614.0,
3100,Surgeons,129.0,
