state,0
AK,12.18
AL,14.79
AR,12.48
AZ,15.83
CA,13.44
CO,14.44
CT,13.0
DC,20.44
DE,13.54
FL,14.65
GA,13.38
HI,15.01
IA,12.0
ID,13.16
IL,12.46
IN,10.8
KS,10.1
KY,12.46
LA,15.41
MA,12.87
MD,14.68
ME,11.89
MI,12.45
MN,12.33
MO,11.03
MS,13.91
MT,11.66
NC,15.21
ND,8.79
NE,12.49
NH,9.27
NJ,12.43
NM,16.04
NV,12.45
NY,13.87
OH,10.18
OK,11.67
OR,11.35
PA,12.65
RI,14.09
SC,14.93
SD,9.42
TN,15.96
TX,13.67
UT,12.59
VA,12.63
VT,14.59
WA,10.24
WI,9.36
WV,13.49
WY,9.87
