var,AME_pp,se_pp
A_AGE,-0.72,0.07
age2,0.01,0.0
female,-1.41,0.34
black,1.87,0.49
married,-0.4,0.43
sepdiv,0.83,0.58
ma_plus,-0.86,0.3
public,-1.72,0.32
pension,-2.44,0.32
parttime,4.47,0.37
fullyear,-9.31,0.32
n_children,-0.53,0.17
child_u6,0.53,0.51
new_baby,4.67,0.78
