code,n_asec_PEIOOCC,label
3140,89,Audiologists
3150,695,Occupational therapists
3160,1475,Physical therapists
3200,75,Radiation therapists
3210,55,Recreational therapists
3220,500,Respiratory therapists
3230,863,Speech-language pathologists
3245,1247,"Therapists, all other"
3250,439,Veterinarians
3255,16507,Registered nurses
3256,167,Nurse anesthetists
3258,1205,Nurse practitioners
3260,81,
3261,75,Acupuncturists
3270,42,"Healthcare diagnosing or treating practitioners, all other"
3300,1734,Clinical laboratory technologists and technicians
3310,1068,Dental hygienists
3320,778,
3321,141,Cardiovascular technologists and technicians
3322,263,Diagnostic medical sonographers
3323,717,Radiologic technologists and technicians
3324,146,Magnetic resonance imaging technologists
3330,99,Nuclear medicine technologists and medical dosimetrists
3400,467,
3401,406,Emergency medical technicians
3402,284,Paramedics
3420,1458,
3421,982,Pharmacy technicians
3422,279,Psychiatric technicians
3423,307,Surgical technologists
3424,350,Veterinary technologists and technicians
3430,196,Dietetic technicians and ophthalmic medical technicians
3500,3096,Licensed practical and licensed vocational nurses
3510,411,
3515,592,Medical records specialists
3520,263,"Opticians, dispensing"
3535,306,
3540,302,
3545,430,Miscellaneous health technologists and technicians
3550,270,Other healthcare practitioners and technical occupations
3600,4853,
3601,1608,Home health aides
3602,4406,Personal care aides
3603,3875,Nursing assistants
3605,139,Orderlies and psychiatric aides
3610,138,Occupational therapy assistants and aides
3620,433,Physical therapist assistants and aides
3630,826,Massage therapists
3640,1555,Dental assistants
3645,2946,Medical assistants
3646,213,Medical transcriptionists
3647,194,Pharmacy aides
3648,310,Veterinary assistants and laboratory animal caretakers
3649,626,Phlebotomists
3655,994,Other healthcare support workers
3700,283,First-line supervisors of correctional officers
3710,525,First-line supervisors of police and detectives
3720,268,First-line supervisors of firefighting and prevention workers
3725,222,First-line supervisors of security workers
3730,180,
3740,1470,Firefighters
3750,116,Fire inspectors
3800,855,
3801,58,Bailiffs
3802,836,Correctional officers and jailers
3820,749,Detectives and criminal investigators
3840,103,Parking enforcement workers
3850,1526,
3870,1881,Police officers
3900,52,Animal control workers
3910,529,Private detectives and investigators
3930,4461,Security guards and gambling surveillance officers
3940,301,Crossing guards and flaggers
3945,240,Transportation security screeners
3946,96,School bus monitors
3955,302,
3960,436,Other protective service workers
4000,2313,Chefs and head cooks
4010,2780,First-line supervisors of food preparation and serving workers
4020,11840,Cooks
4030,5483,Food preparation workers
4040,2102,Bartenders
4050,925,
4055,2393,Fast food and counter workers
4060,576,
4110,9813,Waiters and waitresses
4120,1155,"Food servers, nonrestaurant"
4130,1776,Dining room and cafeteria attendants and bartender helpers
4140,1674,Dishwashers
4150,1716,"Hosts and hostesses, restaurant, lounge, and coffee shop"
4160,27,"Food preparation and serving related workers, all other"
4200,1783,First-line supervisors of housekeeping and janitorial workers
4210,1280,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
4220,12811,Janitors and building cleaners
4230,8440,Maids and housekeeping cleaners
4240,451,Pest control workers
4250,3050,
4251,3153,Landscaping and groundskeeping workers
4252,286,Tree trimmers and pruners
4255,47,Other grounds maintenance workers
4300,426,
4320,443,
4330,641,Supervisors of personal care and service workers
4340,292,Animal trainers
4350,1387,Animal caretakers
4400,493,Gambling services workers
4410,4,
