state,year,naep_m8
HI,2017,277.34
IA,2017,286.24
ID,2017,284.37
IL,2017,281.62
IN,2017,287.71
KS,2017,285.28
KY,2017,277.71
LA,2017,266.51
MA,2017,297.04
MD,2017,280.91
ME,2017,284.0
MI,2017,279.51
MN,2017,293.96
MO,2017,280.6
MS,2017,270.91
MT,2017,285.6
NC,2017,281.93
ND,2017,288.17
NE,2017,288.41
NH,2017,293.29
NJ,2017,291.7
NM,2017,269.37
NV,2017,275.37
NY,2017,281.69
OH,2017,287.71
OK,2017,274.69
OR,2017,282.17
PA,2017,286.39
RI,2017,277.18
SC,2017,274.67
SD,2017,286.38
TN,2017,278.78
TX,2017,282.32
UT,2017,286.82
VA,2017,290.08
VT,2017,287.62
WA,2017,289.13
WI,2017,288.14
WV,2017,273.42
WY,2017,288.76
AK,2019,274.34
AL,2019,268.7
AR,2019,274.36
AZ,2019,279.93
CA,2019,275.61
CO,2019,284.67
CT,2019,286.16
DC,2019,269.18
DE,2019,276.7
FL,2019,278.52
GA,2019,279.49
HI,2019,275.33
IA,2019,281.67
ID,2019,285.94
IL,2019,282.56
IN,2019,285.65
KS,2019,282.21
KY,2019,278.1
LA,2019,271.64
MA,2019,294.47
MD,2019,280.15
ME,2019,282.37
MI,2019,280.28
MN,2019,290.79
MO,2019,280.76
MS,2019,273.73
MT,2019,283.96
NC,2019,283.66
ND,2019,285.56
NE,2019,285.01
NH,2019,287.22
NJ,2019,291.82
NM,2019,268.77
NV,2019,273.79
NY,2019,280.41
OH,2019,285.71
OK,2019,276.47
OR,2019,279.5
PA,2019,285.02
RI,2019,275.67
SC,2019,276.35
SD,2019,287.09
TN,2019,280.08
TX,2019,279.65
UT,2019,284.93
VA,2019,287.06
VT,2019,286.6
WA,2019,285.81
WI,2019,288.66
WV,2019,272.35
WY,2019,286.31
AK,2022,269.92
AL,2022,264.36
AR,2022,266.88
AZ,2022,270.7
CA,2022,269.81
CO,2022,275.11
CT,2022,276.49
DC,2022,259.53
DE,2022,264.25
FL,2022,271.2
GA,2022,271.28
HI,2022,270.1
IA,2022,277.13
ID,2022,281.77
IL,2022,275.2
IN,2022,278.65
KS,2022,271.96
KY,2022,269.41
LA,2022,265.6
MA,2022,283.59
MD,2022,268.7
ME,2022,272.54
MI,2022,272.55
MN,2022,280.07
MO,2022,272.15
MS,2022,265.57
MT,2022,277.43
NC,2022,273.7
ND,2022,278.4
NE,2022,279.38
NH,2022,278.58
NJ,2022,280.89
NM,2022,258.98
NV,2022,269.22
NY,2022,274.27
OH,2022,276.06
OK,2022,263.9
OR,2022,270.28
PA,2022,274.27
RI,2022,270.3
SC,2022,269.02
SD,2022,281.44
TN,2022,271.98
TX,2022,272.67
UT,2022,282.21
VA,2022,279.17
VT,2022,276.46
WA,2022,276.08
WI,2022,281.14
WV,2022,260.39
WY,2022,280.93
AK,2024,263.96
AL,2024,261.77
AR,2024,266.19
AZ,2024,269.66
CA,2024,268.78
CO,2024,278.11
CT,2024,276.67
DC,2024,261.54
DE,2024,263.06
FL,2024,267.24
GA,2024,268.66
HI,2024,270.04
IA,2024,274.82
ID,2024,278.1
IL,2024,277.42
IN,2024,278.19
KS,2024,274.14
KY,2024,270.81
LA,2024,266.78
MA,2024,283.47
MD,2024,268.21
ME,2024,272.62
MI,2024,269.98
MN,2024,282.09
MO,2024,270.36
MS,2024,269.06
MT,2024,279.08
NC,2024,275.82
ND,2024,279.77
NE,2024,279.88
NH,2024,279.74
NJ,2024,281.68
NM,2024,256.21
NV,2024,265.18
NY,2024,270.85
OH,2024,278.81
OK,2024,264.45
OR,2024,267.94
PA,2024,276.25
RI,2024,269.83
SC,2024,268.01
SD,2024,281.1
TN,2024,275.98
TX,2024,269.39
UT,2024,281.79
VA,2024,274.99
VT,2024,275.62
WA,2024,273.67
WI,2024,282.65
WV,2024,260.77
WY,2024,278.32
