HRHHID,HRHHID2,PULINENO,HRMONTH,base_year,n_obs,returned
540209953544434,79001,1,2,2005,1.0,0.0
540209953544434,79001,2,2,2005,1.0,0.0
982029750909400,79001,1,2,2005,1.0,0.0
794699470017403,79001,1,2,2005,3.0,0.0
354274066909596,79001,2,2,2005,2.0,0.0
854843006909894,79001,1,2,2005,2.0,0.0
946289570359400,79001,2,2,2005,3.0,0.0
640809912902472,79001,1,2,2005,2.0,0.0
938599150659400,79001,2,2,2005,1.0,0.0
084507017001607,79001,1,2,2005,3.0,0.0
907902444597908,79001,2,2,2005,3.0,0.0
260591359100915,79001,3,2,2005,2.0,0.0
406902645997521,79001,1,2,2005,2.0,0.0
078225510992699,79001,2,2,2005,1.0,0.0
884459160716504,79001,1,2,2005,2.0,0.0
499610005930955,79001,1,2,2005,1.0,1.0
599970487430755,79001,3,2,2005,1.0,0.0
074094609200516,79001,1,3,2005,2.0,0.0
206904430796994,79001,2,3,2005,1.0,0.0
370846090108438,79001,1,3,2005,3.0,1.0
687830557640960,79001,1,3,2005,1.0,0.0
090988408016699,79001,3,3,2005,3.0,0.0
946309770849005,79001,2,3,2005,2.0,0.0
090916405001634,79001,2,3,2005,1.0,0.0
990597028904574,79001,2,3,2005,3.0,0.0
195957707017025,79001,2,3,2005,2.0,0.0
955080461179890,79001,1,3,2005,2.0,0.0
520827092018279,79001,2,3,2005,3.0,0.0
972959370949103,79001,3,3,2005,2.0,0.0
631225036907094,79001,1,3,2005,1.0,0.0
731776008909598,79001,2,3,2005,3.0,0.0
810609918096597,79001,1,3,2005,3.0,0.0
917589470609102,79001,1,3,2005,2.0,0.0
018151870984894,79001,1,3,2005,3.0,0.0
191968502039739,79001,1,3,2005,3.0,1.0
867677780099105,79001,1,3,2005,3.0,0.0
608900631990207,79001,1,3,2005,3.0,0.0
028078104160030,79001,1,3,2005,1.0,0.0
059501880986493,79001,1,3,2005,3.0,0.0
583165879800916,79001,2,3,2005,3.0,0.0
979299670199105,79001,2,3,2005,2.0,0.0
370909092027059,79001,1,3,2005,2.0,0.0
010950342990182,79001,1,3,2005,3.0,0.0
620106933949592,79001,2,3,2005,1.0,0.0
294986202043259,79001,1,3,2005,1.0,0.0
983022814269110,79001,2,3,2005,1.0,0.0
010932062528964,79001,1,3,2005,3.0,0.0
206601632995193,79001,1,3,2005,1.0,0.0
078612630698043,79001,1,3,2005,1.0,0.0
106907642992874,79001,2,3,2005,1.0,0.0
690647097528609,79001,2,3,2005,3.0,0.0
940741090027619,79001,2,3,2005,1.0,1.0
274291279500670,79001,2,3,2005,2.0,0.0
299917304098528,79001,2,3,2005,2.0,1.0
762524038907896,79001,2,3,2005,3.0,1.0
296906100013609,79001,1,3,2005,1.0,0.0
906269370579206,79001,2,3,2005,2.0,0.0
063012670954791,79001,1,3,2005,1.0,0.0
972235086909892,79001,2,3,2005,1.0,0.0
977077921279550,79001,2,3,2005,1.0,0.0
820707960492390,79001,1,3,2005,3.0,0.0
264269959900968,79001,1,3,2005,1.0,0.0
265908107051909,79001,1,3,2005,3.0,0.0
397948608004079,79001,1,3,2005,3.0,0.0
397948608004079,79001,2,3,2005,3.0,0.0
970392269100532,79001,2,3,2005,2.0,0.0
304077903035141,79001,2,3,2005,1.0,0.0
086563630768992,79001,2,3,2005,1.0,0.0
770003538369540,79001,1,3,2005,1.0,0.0
543389018909795,79001,2,3,2005,3.0,0.0
830609905412498,79001,1,3,2005,3.0,0.0
689250717140983,79001,3,3,2005,2.0,1.0
126460560970304,79001,2,3,2005,1.0,0.0
708909253993709,79001,1,3,2005,3.0,0.0
829709560129303,79001,2,3,2005,1.0,0.0
999379870006309,79001,4,3,2005,2.0,1.0
289330493800964,79001,3,3,2005,1.0,0.0
794699470017403,79001,1,3,2005,2.0,0.0
354274066909596,79001,2,3,2005,1.0,0.0
854843006909894,79001,1,3,2005,1.0,0.0
766476149600930,79001,2,3,2005,1.0,0.0
946289570359400,79001,2,3,2005,2.0,0.0
640809912902472,79001,1,3,2005,1.0,0.0
660490629800931,79001,2,3,2005,1.0,0.0
084507017001607,79001,1,3,2005,2.0,0.0
907902444597908,79001,2,3,2005,2.0,0.0
260591359100915,79001,3,3,2005,1.0,0.0
406902645997521,79001,1,3,2005,1.0,0.0
515122027908494,79001,1,3,2005,2.0,0.0
884459160716504,79001,1,3,2005,1.0,0.0
065595018909995,79001,1,3,2005,3.0,1.0
094930110994295,80001,1,4,2005,3.0,0.0
074094609200516,79001,1,4,2005,1.0,0.0
617210644690980,79001,1,4,2005,2.0,1.0
946046681087410,79001,3,4,2005,2.0,1.0
950663092108359,79001,2,4,2005,2.0,0.0
090988408016699,79001,3,4,2005,2.0,0.0
401901970894746,80001,1,4,2005,3.0,0.0
093260180994499,80001,2,4,2005,3.0,1.0
140984096101849,80001,1,4,2005,3.0,0.0
968569510617002,80001,2,4,2005,3.0,0.0
094991203002958,80001,2,4,2005,2.0,0.0
100909924593082,80001,1,4,2005,3.0,0.0
194991203002056,80001,1,4,2005,3.0,1.0
195957707017025,79001,2,4,2005,1.0,0.0
955080461179890,79001,1,4,2005,1.0,0.0
570715070711448,80001,1,4,2005,3.0,0.0
316194759200621,80001,2,4,2005,3.0,1.0
520827092018279,79001,2,4,2005,2.0,0.0
389166329300936,79001,1,4,2005,1.0,0.0
766075999119200,80001,2,4,2005,3.0,1.0
810609918096597,79001,1,4,2005,2.0,0.0
699300389410911,80001,1,4,2005,3.0,0.0
917589470609102,79001,1,4,2005,1.0,0.0
018151870984894,79001,1,4,2005,2.0,0.0
708480780600981,79001,2,4,2005,2.0,1.0
799920743610911,80001,2,4,2005,3.0,0.0
810709933125292,79001,2,4,2005,2.0,0.0
867677780099105,79001,1,4,2005,2.0,0.0
120978094111479,80001,1,4,2005,3.0,0.0
780978093911169,80001,1,4,2005,3.0,0.0
608900631990207,79001,1,4,2005,2.0,0.0
074171180999398,80001,2,4,2005,3.0,0.0
059501880986493,79001,1,4,2005,2.0,0.0
583165879800916,79001,2,4,2005,2.0,0.0
979299670199105,79001,2,4,2005,1.0,0.0
370909092027059,79001,1,4,2005,1.0,0.0
681071944219570,80001,1,4,2005,3.0,0.0
299520987050912,80001,2,4,2005,3.0,0.0
010932062528964,79001,1,4,2005,2.0,0.0
684266479300944,79001,1,4,2005,1.0,1.0
690647097528609,79001,2,4,2005,2.0,0.0
274291279500670,79001,2,4,2005,1.0,0.0
071046114280560,79001,1,4,2005,2.0,1.0
043372170972293,80001,1,4,2005,3.0,0.0
977077921279550,79001,2,4,2005,,
820707960492390,79001,1,4,2005,2.0,0.0
265908107051909,79001,1,4,2005,2.0,0.0
397948608004079,79001,2,4,2005,2.0,0.0
830006902317997,79001,2,4,2005,2.0,0.0
970392269100532,79001,2,4,2005,1.0,0.0
199120294040613,80001,1,4,2005,3.0,0.0
199150608760913,80001,2,4,2005,3.0,0.0
304077903035141,79001,2,4,2005,,
313743097001504,79001,2,4,2005,1.0,1.0
315396299100880,80001,1,4,2005,3.0,0.0
394991203002250,80001,2,4,2005,3.0,0.0
830307910003791,79001,2,4,2005,2.0,0.0
543389018909795,79001,2,4,2005,2.0,0.0
007901033891224,79001,2,4,2005,1.0,0.0
479960521980973,79001,2,4,2005,1.0,0.0
499770113960913,80001,1,4,2005,3.0,0.0
830609905412498,79001,1,4,2005,2.0,0.0
340764097637079,79001,2,4,2005,1.0,0.0
937309710909309,80001,2,4,2005,3.0,0.0
788179610269308,80001,1,4,2005,3.0,0.0
708909253993709,79001,1,4,2005,2.0,0.0
999379870006309,79001,4,4,2005,1.0,1.0
070994120993390,80001,2,4,2005,3.0,0.0
499810245680914,80001,2,4,2005,3.0,0.0
794699470017403,79001,1,4,2005,1.0,0.0
946289570359400,79001,2,4,2005,1.0,0.0
084507017001607,79001,1,4,2005,1.0,0.0
768518170949403,79001,1,4,2005,1.0,0.0
907902444597908,79001,2,4,2005,1.0,0.0
608905294992749,79001,2,4,2005,2.0,1.0
315566504000974,80001,2,4,2005,3.0,0.0
908904775799351,79001,1,4,2005,2.0,0.0
515122027908494,79001,1,4,2005,1.0,0.0
941919310977508,80001,1,4,2005,3.0,1.0
500939098551489,80001,1,4,2005,3.0,0.0
301000845101075,80001,2,4,2005,3.0,0.0
065595018909995,79001,1,4,2005,2.0,1.0
094930110994295,80001,1,5,2005,2.0,0.0
619640114480920,80001,1,5,2005,3.0,0.0
916649010139006,80001,1,5,2005,2.0,0.0
946046681087410,79001,3,5,2005,1.0,1.0
090988408016699,79001,3,5,2005,1.0,0.0
401901970894746,80001,1,5,2005,2.0,0.0
866569520349009,80001,1,5,2005,3.0,0.0
140984096101849,80001,1,5,2005,2.0,0.0
968569510617002,80001,2,5,2005,2.0,0.0
100909924593082,80001,1,5,2005,2.0,0.0
040701076911849,80001,1,5,2005,2.0,1.0
174978502052059,79001,2,5,2005,1.0,0.0
570715070711448,80001,1,5,2005,2.0,0.0
740071547128550,80001,2,5,2005,3.0,0.0
520827092018279,79001,2,5,2005,1.0,0.0
389166329300936,79001,1,5,2005,,
195982103013697,80001,1,5,2005,3.0,0.0
810609918096597,79001,1,5,2005,1.0,0.0
699300389410911,80001,1,5,2005,2.0,0.0
210609952580997,80001,2,5,2005,3.0,0.0
018151870984894,79001,1,5,2005,1.0,0.0
191968502039739,79001,1,5,2005,1.0,0.0
799920743610911,80001,2,5,2005,2.0,0.0
867677780099105,79001,1,5,2005,1.0,0.0
120978094111479,80001,1,5,2005,2.0,0.0
780978093911169,80001,1,5,2005,2.0,0.0
608900631990207,79001,1,5,2005,1.0,0.0
074171180999398,80001,2,5,2005,2.0,0.0
059501880986493,79001,1,5,2005,1.0,0.0
583165879800916,79001,2,5,2005,1.0,0.0
210909927901399,80001,2,5,2005,3.0,0.0
602703921991609,80001,1,5,2005,3.0,0.0
681071944219570,80001,1,5,2005,2.0,0.0
299520987050912,80001,2,5,2005,2.0,0.0
010932062528964,79001,1,5,2005,1.0,0.0
690647097528609,79001,2,5,2005,1.0,0.0
033532250961298,80001,2,5,2005,3.0,0.0
292902203010517,80001,1,5,2005,2.0,0.0
043372170972293,80001,1,5,2005,2.0,0.0
202701432997567,80001,2,5,2005,3.0,0.0
892109042907793,80001,2,5,2005,3.0,1.0
265908107051909,79001,1,5,2005,1.0,0.0
630990092021069,80001,2,5,2005,2.0,0.0
397948608004079,79001,2,5,2005,1.0,0.0
830006902317997,79001,2,5,2005,1.0,0.0
102906313996940,80001,1,5,2005,3.0,0.0
199120294040613,80001,1,5,2005,2.0,0.0
199150608760913,80001,2,5,2005,2.0,0.0
315396299100880,80001,1,5,2005,2.0,0.0
394991203002250,80001,2,5,2005,2.0,0.0
399770504750913,80001,3,5,2005,,
543389018909795,79001,2,5,2005,1.0,0.0
937309710909309,80001,2,5,2005,2.0,0.0
901004243103597,80001,2,5,2005,2.0,0.0
227361229700942,80001,1,5,2005,3.0,0.0
230807907755896,80001,1,5,2005,3.0,0.0
802904953993998,80001,2,5,2005,3.0,0.0
788179610269308,80001,1,5,2005,2.0,0.0
708909253993709,79001,1,5,2005,1.0,0.0
093161052909062,80001,4,5,2005,3.0,0.0
502907234994660,80001,1,5,2005,,
401704644894061,80001,1,5,2005,2.0,0.0
070522096942969,80001,1,5,2005,3.0,0.0
070522096942969,80001,2,5,2005,3.0,0.0
070994120993390,80001,2,5,2005,2.0,0.0
494981405093276,80001,1,5,2005,2.0,0.0
499810245680914,80001,2,5,2005,2.0,0.0
479958606026529,79001,1,5,2005,1.0,1.0
498962100015529,80001,2,5,2005,3.0,0.0
789490356220984,79001,2,5,2005,1.0,0.0
370189092042059,80001,1,5,2005,3.0,0.0
502609434997288,80001,1,5,2005,3.0,0.0
608905294992749,79001,2,5,2005,1.0,1.0
044574290985291,80001,1,5,2005,3.0,1.0
010800061652219,80001,1,5,2005,3.0,0.0
047145100690692,80001,1,5,2005,2.0,0.0
926578559000796,80001,1,5,2005,3.0,0.0
811529120319509,80001,2,5,2005,3.0,0.0
808903295995824,79001,1,5,2005,1.0,0.0
301000845101075,80001,2,5,2005,2.0,0.0
065595018909995,79001,1,5,2005,1.0,1.0
094930110994295,80001,1,6,2005,1.0,0.0
053042144020060,80001,2,6,2005,2.0,0.0
098951302056508,80002,1,6,2005,1.0,0.0
200609956102842,80001,2,6,2005,2.0,1.0
619640114480920,80001,1,6,2005,2.0,0.0
802907820997026,80001,1,6,2005,2.0,0.0
866569520349009,80001,1,6,2005,2.0,0.0
093260180994499,80001,2,6,2005,1.0,0.0
140984096101849,80001,1,6,2005,1.0,0.0
290755051906274,80001,1,6,2005,1.0,0.0
040701076911849,80001,1,6,2005,1.0,1.0
210001015983113,80001,8,6,2005,2.0,0.0
570715070711448,80001,1,6,2005,1.0,0.0
436198809200819,80001,1,6,2005,3.0,0.0
735198619200300,80001,1,6,2005,2.0,1.0
195982103013697,80001,1,6,2005,2.0,0.0
571389013905795,80001,2,6,2005,3.0,0.0
120978094111479,80001,1,6,2005,1.0,0.0
271680082909260,80001,2,6,2005,2.0,1.0
780978093911169,80001,1,6,2005,1.0,0.0
330999070711519,80001,1,6,2005,1.0,1.0
918009971139270,80001,2,6,2005,1.0,0.0
037072200980298,80001,2,6,2005,2.0,0.0
780710066321439,80001,2,6,2005,1.0,0.0
681071944219570,80001,1,6,2005,1.0,0.0
299520987050912,80001,2,6,2005,1.0,0.0
932619630059205,80001,2,6,2005,3.0,0.0
620935069722764,80001,1,6,2005,2.0,0.0
292902203010517,80001,1,6,2005,1.0,0.0
640557098222719,80001,1,6,2005,2.0,1.0
739293209600846,80001,2,6,2005,3.0,0.0
932299279600356,80001,2,6,2005,3.0,1.0
043372170972293,80001,1,6,2005,1.0,0.0
020862170992590,80001,1,6,2005,1.0,1.0
057452380992092,80001,1,6,2005,3.0,0.0
087412180696699,80001,2,6,2005,1.0,0.0
892109042907793,80001,2,6,2005,2.0,1.0
999350937540912,80001,2,6,2005,1.0,0.0
199150608760913,80001,2,6,2005,1.0,0.0
078673110994898,80001,1,6,2005,1.0,0.0
315396299100880,80001,1,6,2005,1.0,0.0
394991203002250,80001,2,6,2005,1.0,0.0
709013963339490,80001,2,6,2005,3.0,1.0
133396489400814,80001,2,6,2005,,
033343150994595,80001,1,6,2005,1.0,1.0
981036587329280,80001,2,6,2005,2.0,0.0
937309710909309,80001,2,6,2005,1.0,0.0
227361229700942,80001,1,6,2005,2.0,0.0
227361229700942,80001,2,6,2005,2.0,1.0
230807907755896,80001,1,6,2005,2.0,0.0
326394759800921,80001,2,6,2005,2.0,0.0
330809991273288,80001,1,6,2005,3.0,1.0
802904953993998,80001,2,6,2005,2.0,0.0
228393119800905,80001,1,6,2005,2.0,0.0
788179610269308,80001,1,6,2005,1.0,0.0
102905333997099,80001,1,6,2005,2.0,1.0
325394959900706,80001,2,6,2005,2.0,1.0
011214110997494,80001,1,6,2005,1.0,0.0
401704644894061,80001,1,6,2005,1.0,0.0
070522096942969,80001,1,6,2005,2.0,0.0
070522096942969,80001,2,6,2005,2.0,0.0
070994120993390,80001,2,6,2005,1.0,0.0
140209933096586,80001,1,6,2005,,
140209933096586,80001,2,6,2005,,
499810245680914,80001,2,6,2005,1.0,0.0
498962100015529,80001,2,6,2005,2.0,0.0
240607945806093,80001,2,6,2005,2.0,1.0
026414170998992,80001,2,6,2005,1.0,0.0
967509110029407,80001,2,6,2005,1.0,0.0
140809931408080,80001,1,6,2005,1.0,1.0
